"uname2","upost","uopin"
"","14 Jun 2026","I reviewed the specs, honestly I'm impressed. Xiaomi has come a long way with T series compared to older generations of Xiaomi T series especially below 14T series.  
This is no longer a flagship killer ، this device is now a flagship for those that are not so serious about camera but still wish for a good quality casual picture when they want one.  
 
Honestly Great choice for anyone wishing for a flagship device at an upper midrange price. 
This phone lacks two thing to become a flagship: 
1. An adaptive refresh rate screen (such as the 1-120hz of the flagships in the Market) 
 
2. A triple 50MP Rearcam set ( currently lacking only due to the 12MP ultra wide). 
 
Except these 2 everything else is truly flagship experience"
"","12 Jun 2026","Ever since AI took over, companies seem more focused on raising prices than improving products. Maybe it's time we start supporting cheaper alternatives so they stop this BS."
"Anonymous","11 Jun 2026","Or just buy older flagships. 
they are superior even if software and security updates are ineligible."
"","08 Jun 2026","AI needs ram, GPU and CPU to function, so instead of the companies that makes ram and those stuff to focus on the consumers ,they instead focus on the AI companies that are willing to buy a lot at high prices which in turn causes them to increase the price in their stock and favor the AI centers more , the consumer faction of the digital tech gets less priority than the AI component needed by the AI companies"
"","07 Jun 2026","He's bluffing! Has no clue what he's yapping about."
"","06 Jun 2026","Mystery, you may ignore and stop replying to this A55 user just to avoid dealing with the all unnecessary bs he's posting in here. It's literally pointless, bro."
"Sam A55 User","06 Jun 2026","All devices will be expensive more every year, because for AI. Chips became very expensive. I don't know all story about that, but Samsung some devices is overpriced too like Samsung A57. Samsung S26 class models also have bigger price after release. S26 Ultra 1TB cost 1800 euros almost, when before was about 200 - 300 euros less. AI brings good things, but all technologies will cost more for AI reason. And this is not just with phones, at all a lot of things will be more expensive. In TV over and over talking about that and for example i bought 6 months ago memory card for my older A55, i spent about 85 euros for 1 TB, now this card in the same shop cost 200 euros. Welcome to reality. Xiaomi i don't like as company, i don't like at all Chinese products, they are cheaps, but and quality is low. But i writing most here just my opinion and honest minds, i don't want to insult any user or to mock somehow Chinese product, but my opinion it's crap. I had some, i throw it to trash already. Maybe i had bad experience, but someone no. Maybe this user have better opinion and i respect it. But to say that Xiaomi is better as Apple and Samsung is total crap. Sells report showing how people buying Apple, how buying Samsung and how buying others companies devices. Xiaomi did progress, by expert, bust still is behind Apple and Samsung. If you like Xiaomi, that's ok. Can't everybody hate or love the same company. I wish you good luck with Chinese products, maybe one day will be the same good quality, but right now they are just in the way which went Apple and Samsung already."
"","05 Jun 2026","Yep that's right, Oh well, at least iphones are more secure and they cost less nowadays. As for the displays, Samsung use 8-bit screen panels (even on their high-end devices), 8-bit panels generate less colors comparing to a 12-bit which most of the manufactures are currently use."
"","05 Jun 2026","The total value, bang for your buck. You get like, powerful chips, great displays and huge batteries with Poco phones for a friction of what the galaxy S series cost. What else you might need, like literally! And I ain't gonna talk bout the A series cos those are just a waste IMO."
"","04 Jun 2026","Xiaomi 15T Pro costs $600 while this one is around $900 but the price of the 17T Pro will drop eventually, it's a lil high rn due to the ram and chips shortage, thanks to all of the AI shenanigans."
"","04 Jun 2026","Everyone just keeps arguing about this phone 😭😭 , it's great for it's price and spec wise it has some that are better than Samsung and iPhone and some part that are lower but still for 1000$ at launch price is kinda ok,  
How much is Samsung s26 ultra, i don't know so am asking before I can say further about this"
"","03 Jun 2026","Xiaomi is better than Samsung, it offers a better value for money. We tech enthusiasts know how to work around things by not over paying hundreds of dollars to brands that misleading people as Samsung. Everyone with brains won't pay that much money to get a 5000 mAh battery and an exynos chip in 2026 !!"
"Laanaiti40","02 Jun 2026","LOL, $900 for Type-C 2.0 and an optical fingerprint? This is really a joke"
"Anonymous","01 Jun 2026","ah yes the Samsung A55 which famously doesn't have Spyware... oh wait it does 
just google Appcloud and Israel"
"","01 Jun 2026","Why are you here? You're an outcast not welcome in here."
"cyber","31 May 2026","poco f8 ultra is way better and cheaper than this one"
"","29 May 2026","That deep blue is the most beautiful one I have ever seen."
"","29 May 2026","copy paste garbage same specs same everything it honestly sucks they're prioritizing numbers  
 
why dont u just make the phone thinner at this point after 1,000,000 AnTuTu u stop caring everyone uses phone for social media browsing light gaming all that stuff no one cares that u have dimensity 9500 if ur just gonna scroll TikTok and do normal phone activities like a normal person  
 
""but the camera"" and just buy a S23 Ultra or any other flagship or even better buy a real camera phone cameras are inferior Is genuinely felt no real meaningful difference switching from Poco F3 to X7 Pro in real day to day use the only specs that matter are only 
 
120hz 256/512gb storage thermal throttling and battery life rest is marketing"
"Luc","28 May 2026","Even with cheaper pricing in the future, still around 700-800 euros for usb 2.0?  
I find it very useful tbh, and since they've done it for the f8 ultra, they could've done it with this one too...  
For said 700-800 euros you could easily get a better flagship like the Xiaomi 17."
"Fdarius","28 May 2026","Damn..gorilla 7i, no LTPO, 4k @30fps selfie video and usb 2.0 for that price?"
"","28 May 2026","Rebranded 15T Pro with larger battery and new CPU..."
"","28 May 2026","They have cheaped out with the display again, as it seems. Just over 1000 nits brightness? That's mediocre even for Note-series."
"Anonymous","28 May 2026","""Like i said for most people 100W charging better than USB 3.2."" 
I'm tired of this argument! How about both?!"
"Telenoob","28 May 2026","Usb 2.0, are we in 2005? You can't even use hdmi adapters with this thing. Just as a reminder - iphone 6s could do that, Samsung s8 could do that"
"Anonymous","28 May 2026","Yet another thousand euros phone with usb 2.0..."
"","25 May 2026","Yeah the smart people will just go on eBay and buy a discounted slightly used 15T Pro. The phones are super durable and easy to keep in perfect condition due to the fiber reinforced plastic back. So it's easy decision! 😊"
"CrashPC","21 May 2026","530Eur in Czech Republic as well, but that is the base price. Certain sellers give other promos and discounts on top of that (we have 60Eur trade/in bonus). 
Srsly, USB 2.0, 12Mpx UWA without AF, great but not exciting battery for the class, and the body is also somewhat MEH. For 999Eur even with some discounts, it is DOA. Oppo will eat Xiaomi´s lunch if they don´t straighten up at Xiaomi. I am contemplating on getting the 15T pro for 6-12 months as wel to bridge these times. Absolute nonsense."
"Anonymous","20 May 2026","Poco F8 Ultra leaves this freak in dust 😆"
"Joyoni","18 May 2026","Sadly yes, would be a great upgrade for not too much money"
"Anonymous","17 May 2026","This phone is just disappointment to be honest I was hoping for a USB 3.2 and same price as the 15T pro well I need to wait for Xiaomi 18t pro I guess and hope is not another disappointment"
"Anonymous","15 May 2026","Might as well get the 15t or 15t pro instead 
Hell maybe even a poco f8 pro or ultra instead. 
 
For an overpriced phone that might as well give off same performance or worse from previous gen. 
 
I'd rather just get the older ones. Hell maybe even just get the poco x8 series."
"","10 May 2026","It's so f**lish of you to think, usb 3.2 is only for data transfer."
"","09 May 2026","Go setting, go wireless and under DNS network type following: DNS.ADGUARD.COM 
Thats it.  
Your problem been solved. 
Your phone is completely debloated now for free and for good for as long as this feature stays on.  
Enjoy your new fresh phone."
"","09 May 2026","rumored one like rest of the unnoficial specs.  
By the way who cares??? 
SAome brands have much more UFS yet you charging your phone for two hours like S26 Ultra or Google pixel series or 17 pro max or Apple air. 
Rather will live with USB 2.0 than waiting two hours to charge my battery."
"","07 May 2026","The POCO is going to receive only 4 years of updates versus 5 years for the Xiaomi 17T pro 
Moreover, Xiaomi T pro series devices are better than Redmis and POCOs in terms of software optimization, in addition, Xiaomi T series devices are Xiaomi's cheapest phones that get the full features of HyperOS while Redmis and POCOs (even higher-tier ones) often lack some features"
"","06 May 2026","Why name is not looking i think ""right"". Who agrees?"
"","06 May 2026","Dimensity 9500. 👍"
"Gaben","06 May 2026","Only 2 useful cameras, USB 2.0 and optical fingerprint sensor for 1000 EUR? Is this a joke?"
"dada","06 May 2026","RAM prices rising happened."
"Anonymous","06 May 2026","looks cute"
"","10 hours ago","He's a scamsung troll always tryna get under people's skin in here. Apparently, his brain ain't functioning that well."
"","12 hours ago","I don't believe it, not for a second. You seem like a broke person to me, You have a galaxy a55 garbage."
"","12 hours ago","If you think so, then what you doing here?!"
"Anonymous","16 hours ago","I was a little bit incorrect when i wrote that Xiaomi 17T Pro is better just in brightness, coz have more nits and 144 Hz display. I forgot to mentioned bigger battery and faster charging. But all others is better in Samsung S25+. So always is better Samsung. GSM do not writing always everything and some details is incorrect. Check full specs by Xiaomi and Samsung and you will see, that most pros is in Samsung side. Processor is better by some others web sites which did test too in Samsung S25+, so Chinese can just praise their bigger battery and display, also charging. That's all. Protection of glass, support, processor, material and etc is better in Samsung."
"Anonymous","16 hours ago","You mean Samsung S25+? About 1000 - 1020 euros, but the same price is of Xiaomi 17T Pro 512 GB too. But Samsung S25+ is much much much better."
"sayabosanhidup","19 hours ago","the xiaomi 17t pro lacks no thing else other than an 
ip66 ip69 ip69k + how ever i wonder if those bezels 
are symmetrically slim & this s also quite cheap too 
 
! 
 
?"
"","23 hours ago","It has gone down to 650, then it's worth it bro 😊😊"
"Anonymous","25 Jun 2026","by specs only Xiaomi 17T Pro have better nits, 144 display, all others is better in Samsung."
"Anonymous","25 Jun 2026","My opinion Samsung is always better as Chinese at all devices."
"Anonymous","25 Jun 2026","im getting it for 650 dollars is it worth ? not 1000"
"sano","25 Jun 2026","okay so i dont know where to ask but is this phone worth for 650 dollars for the 512GB model ? I can buy it where im at for 650 dollars, or should i get a s25+ 512 used for the same price"
"Anonymous","25 Jun 2026","If this one is flagship when is overpriced very much and worse flagship which i saw right now. Check others flagships specs. This one have one of worse and remind me mid range model from China."
"Anonymous","25 Jun 2026","Your known people is just small group of users compared with all world users. For me USB 3.2 standard is very necessary. I use laptop, in transferring big files and like i know many people doing the same in all world. So group of people which you know do not showing real situation. Somebody want here phones smaller as 6.5 inch, but sell reports showing that most sells phones is bigger screen as 6.7. That's why world is interesting, in world living many people with own needs."
"Anonymous","25 Jun 2026","But price like flagship. I spend 1000 euros for S25 Ultra with 512 GB memory, when this one cost with 512 GB the same price, but is much much much worse as S25 Ultra."
"","24 Jun 2026","I don't think they are even necessary for the flagship experience.  
Apart from the LTPO screen, the other are not even noticeable when not being present and Don't affect the overall experience with the smartphone.  
LTPO affects the battery and smoothness of screen which is great thing, and honestly most of the people i know don't even use laptop and do not transfer large amounts of files from their smartphones so the USB 3.2 standard is pretty much wasted."
"","23 Jun 2026","Yes and that is the case. if a device don't have USB 3, LTPO, the latest processor it can't be a flagship."
"","23 Jun 2026","You're the one who said ""No USB 3.2 = No Flagship !"""
"","21 Jun 2026","Pixel 8a has no LTPO and no Ultrasonic fingerprint scanner. Definitely not a flagship."
"","21 Jun 2026","This one has 3.2"
"","21 Jun 2026","By your logic this phone is a flagship"
"Amir","19 Jun 2026","Hi.  
But in comparison with X8 PRO MAX, it's a defeat for Xiaomi.  
It's more expensive than X8 PRO MAX, but it's BLUETOOTH, BATTERY are really terrible 😔"
"Houza","19 Jun 2026","No way this is flagship, optical fp,usb 2.0..this phone is only 2018 flagship"
"","17 Jun 2026","The Xiaomi 17T Pro is not a Flagship !!!!! 
A phone can't be a Flagship without USB 3.2 
No USB 3.2 = No Flagship !"
"sayabosanhidup","14 Jun 2026","there should be an ip66 ip68 ip69 ip69 k 
it is vulnerable if it doesnt have all those 
 
!"
"","14 Jun 2026","That's absolutely correct, however in my Region there's always a cleared up stocks of these when new models come into the market. This leads it to only being available through 3rd party sellers that won't give any warranty. 
The most heavily impacted through this are flagship devices or flagship killers. This doesn't affect the midrange segment."
"","12 Jun 2026","It's really a joke indeed 😭😭"
"","12 Jun 2026","Good specs good price but if phone were 8 inch or so they could put even better specs inside."
"Anonymous","12 Jun 2026","My country is the same 
 
Last year, i saw someone selling poco x6 pro (used, 256gb) for a price that is higher than the original 2023 launch price, what a joke"
"","11 Jun 2026","Yea , that's fact"
"Anonymous","11 Jun 2026","You taking just few things and you saying that this is too much, let's see into Xiaomi 17T Pro . 
U clearly mention the pro variant 😐"
"notachinesefanboybtw","11 Jun 2026","Bruv look back on ur mssg, u clearly mention the 17t PRO"
"","08 Jun 2026","Let's just not buy anything this year, and if in need buy something when there's a good sale on it so that it absorbs the price hikes."
"Sam A55 User","08 Jun 2026","AI will make technology at all more expensive in general, not just RAM, various boards and various other things will also become more expensive. RAM is not only point thing here, so I don't understand what you are talking about. It was clearly stated that AI will make everything more expensive in general in technologies. Dude, what's why i don't understand your point. RAM is not reason of that."
"Sam A55 User","08 Jun 2026","Samsung is confirmed by experts that is in higher level as Chinese companies. But good things have Chinese manufacturers too. Competition in this market is big and Apple with Samsung have to compete not just between each other, but and with Chinese companies too. My opinion is better Samsung at all, your opinion is Xiaomi better. That's great, people are different and have different things. No need to drop dirty if human have own opinion. Have a nice day."
"","08 Jun 2026","If I wanted a Samsung or a iPhone I woud buy, my wife have Samsung and my son a iPhone 16 Pro Max. 
I love good phones and Samsung aren't one of them."
"Sam A55 User","08 Jun 2026","I'm talking about 17T not PRO version, sorry did not read further, coz i think you writing about 17T PRO, was mentioned 17T model not PRO."
"Sam A55 User","08 Jun 2026","What do you mean RAM? I don't understand you. What's a point of RAM and AI? RAM is RAM, AI is AI, RAM is not point at all if we talking about prices."
"Sam A55 User","08 Jun 2026","Yeah, do you really think AI created itself? It's just algorithm nothing more, which was made by human."
"","07 Jun 2026","Dude am talking about ai in general 😭😭😭, and I already said that only some part are useful and human beings have thrived before AI, we literally invented it bro 😭😭"
"","07 Jun 2026","Pls read my messages clearly, I am talking about the price hike in the ram department that's affecting prices of all technology in the world , am not talking about the xiaomi or Samsung,am talking about ram prices!!!!"
"Anonymous","07 Jun 2026","I'm talked about 17T, not Pro, because was mentioned this model"
"Notachinesefanboybtw","07 Jun 2026","Brudda the 17t pro has  a Dimensity 9500 platform which is 3 nm and flagship performance certainly ahead of the s25 ultras snapdragon 8 elite. U mention it can’t shoot 8k but it can it can shoot 8 k 24 FPS in the native camera app and more with any professional camera app. U mention the screen quality among other things such as build quality and praise Samsung in those sectors but u conveniently miss out on xiaomi including chargers , their superior charging speeds , and more often than not than offering better performance for ur cash. Samsung relies on its brand image for the A series , majority of its A series phones are overpriced with unjustified prices for the specs . No chargers no fast charging , smaller batteries. Samsung is a major brand and has its own strong suits. Budget and mid rangers are not one of them. Samsung excels in flagships . Anything below and ull find a better priced better speced Oppo, Vivo , poco or redmi phone . Even in flagships Samsung has strong competition from xiaomi Oppo and Vivo these days . So back to my main point u can not compare Samsung midrangers to Chinese mid rangers, ull only embarass ur self"
"","07 Jun 2026","Gaslighting. You definitely have serious issues, pal."
"Sam A55 User","07 Jun 2026","Dude, your community coming to Samsung forum and trying to do the same in Samsung forum, i don't getting that too. People love Samsung, why you trying to change it? I just writing my opinion because you first came into Samsung forum and pouring mud on Samsung fans and company, why? It's not taste, right, when you getting back the same from Samsung user, right? Enjoy Sunday, kid, and try do not provoke again here all this mess. I really trying to talk with you friendly. One more time just stop this and enjoy your day."
"Sam A55 User","07 Jun 2026","The same question for you and all Chinese fans which coming to Samsung forum, why you trying to praise Xiaomi or Chinese devices in Samsung forum? Second question, o friendly wrote to you all comment, you again trying to provoke with this stupid question. Bro, relax and  enjoy sunday."
"","07 Jun 2026","I seriously don't get it. We own Xiaomi and we are happy with their products, why does it bother you this much."
"","07 Jun 2026","Why are you here?"
"Sam A55 User","07 Jun 2026","Easy uninstalling is with some tool. But Xiaomi fans do not know about it, as always. BEHIND SAMSUNG USERS. I uninstalled it long time ago."
"Sam A55 User","07 Jun 2026","Dude, SPAM call filter is not important when many cheaters right now in world trying to trick people? Not important AI Health features which trying to calculate and offer you the best solution to stay health? Not important translations tools, SMS writing tools where can help to do better your job with text? Dude, maybe you do not write further, looks like you still don't understand what is QUALITY mean. Like Xiaomi still are behind."
"Sam A55 User","07 Jun 2026","You taking just few things and you saying that this is too much, let's see into Xiaomi 17T Pro (sub flagship like wrote one dude here): Gorilla Glass 7i), plastic frame for 750 and sub-flagship. Samsung even in premium class midrange phones like A5x do not adding plastic anymore. Go further: only 1268 x 2756 pixels for sub-flagships, really? It's almost midrange resolution, A55 have similar resolution (1080 x 2340 pixels). Processor Mediatek Dimensity 8500 Ultra (4 nm) in sub-flagships, like others adding already 3 nm processors, also even compare S25 Ultra snapdragon Dimensity 8500 Ultra is trash. Video recording only 4K, Samsung midrange have 4K video camera, flagships, even base version can filming 8K already and long time ago. Maybe you just sit silence, Xiaomi is crap and overpriced company for people like you are. Which total don't understand what is quality is. 1000 euros for Samsung Ultra model 2025 is very good price, because have many best quality material, very powerful processor created just for Samsung and very good support. Guys, you can try further to praise Xiaomi, but it's crap and never will be the same line with Apple and Samsung."
"","07 Jun 2026","I don't think KIR is active again 😭😭"
"","07 Jun 2026","Am not talking about the micillenious stuff , am talking about one that benefits humanity in general, the only important stuff I find on the phone is ai translate and circle to search with the other ai stuff like learning, but humanity as thrived and work without those . 
Am talking about helping in research like say cure for viruses, limb regeneration, crime reduction, and other stuffs except from war"
"Anonymous","07 Jun 2026","It's only an upside if you are buying the base iphone or the e series. And Iphone air to some extent. 
Given if you don't give a crap about cameras be a ""normal"" person who just uses a phone as a phone. Not for games, not for cameras. Other than that, it falls to the same trap when you are buying the pro and pro max. Cameras and gaming. In my honest opinion, it's still just as expensive just as any other flagship android who has great cameras and gaming performance. At least to where I live, the iphones are still expensive and the base iphones and e. Are priced similarly to a phone like this, which people would choose android one since it's the most compatible. 
 
Which offtopic, kinda wish iphone was more compatible and accessible to other related android or windows stuff."
"Sam A55 User","07 Jun 2026","You compare 17T sub-flagship with midrange phone. Dude, this is not equal comparison. But i agree price is too high. An i mean 512 GB version. 256 GB version cost enough normal price in my region right now - 420 euros, i spent that for A55 2 years ago after 3 months of releases. 512 GB in my region is not selling, but i heard that, guys, finding and almost 600 - 700 euros for 512 GB this is total overprice."
"","07 Jun 2026","Not to mention Appcloud - Ironsource spyware they are injecting in their devices alongside with other malware active services."
"","07 Jun 2026","All Samsung's are overpriced 👍🏻"
"","07 Jun 2026","A Samsung S25 Ultra with a 8 bit screen and 5000 mAh battery 1000€ is too much."
"","07 Jun 2026","A57 8GB/256GB it's really overpriced but a Xiaomi 17T 12GB/256GB for 599 destroy de A57 every day of the year."
"Sam A55 User","07 Jun 2026","I spent 1000 euros 512 GB for S25 Ultra which is better as this model. Overpriced model like Samsung A57 right now."
"","06 Jun 2026","I have a 15T Pro 1T too 👍🏻"
"","06 Jun 2026","I can buy right now a new Xiaomi 17T Pro 12GB/1T for 900 euros and the 512GB 800 euros"
"Sam A55 User","06 Jun 2026","Did you tried AI tools in Samsung? I think package which is right now on S25/26 Ultra models and maybe S24 Ultra is very useful and need it for daily life: SPAM Call, translation, photo assistants, messaging helper and ect. I understand that Xiaomi do not have many of it, but no need for that to say it's useless. Sony users also saying why need one and another features which have Samsung, but check where is Sony now, Xiaomi copying Apple and Samsung and just time when will be the same what have Apple and Samsung because they understand that these things is awesome. But i see problem, Xiaomi have to find own pros, not just to copy from Apple and Samsung. That's why they are still crap."
"","06 Jun 2026","Sadly not in my country, my store sellers are scum"
