uname2,upost,uopin
,25-Jun-26,"This is what ChatGpt said about your comment: 
 
""That answer is partly right, but overstated and missing context—especially when applied to phones like the Vivo X300 Ultra. 
 
The core idea is real: 
 
A brighter (wider) aperture (lower f-number like f/1.6, f/1.8) creates shallower depth of field (DOF). 
Shallower DOF means less of the scene is in focus front-to-back. 
That can make close-up photography harder because focus errors become more obvious. 
 
But on phones, there are some important caveats. 
 
Where the answer is correct 
 
If you're photographing: 
 
flowers from ~0.5–1 m 
food 
products 
pets close up 
people at close distance 
 
…then a large sensor + bright lens absolutely can cause: 
 
petals sharp but stem blurry 
nose sharp but ears soft 
focus misses becoming obvious 
 
That’s one reason phones moved toward: 
 
computational focus stacking 
multi-frame capture 
variable aperture (rare) 
 
Where the answer goes too far 
 
Saying: 
 
“having a fixed and wide aperture is a bigger problem than most non-photography people understand” 
 
…is too absolute. 
 
Modern phone cameras compensate with: 
 
short actual focal lengths 
computational sharpening 
focus stacking 
automatic subject detection 
digital crop zoom 
 
And many people actually prefer shallow DOF because it gives: 
 
subject separation 
DSLR-like portraits 
better low light 
About the Vivo X300 Ultra specifically 
 
(assuming they keep the same philosophy as recent Ultra phones) 
 
The X-series Ultra phones tend to use: 
 
very large sensors 
bright apertures 
aggressive computational photography 
 
That means: 
 
Pros: amazing low light, natural background blur, excellent telephoto. 
Cons: close-up focus can be less forgiving than smaller-sensor phones."
Anonymous,24-Jun-26,"Set the sharpness to -80, the 200m pixels photo of 35mm and 85mm will blow your mind. It is superb and as good as a DSLR."
,20-Jun-26,"The depth of field will be too short in many cases, so you need to use crop zoom positions like 50 or 70mm. Or 135mm on the telephoto. 
 
The only camera where short DOF is not a problem is the ultrawide. 
 
Most people who's ever used a real camera with a proper lens (that has a variable aperture) will tell you that having a fixed aperture (whether its wide or narrow) can be a really big problem outside simple point and shoot photography. 
 
Even my mother started messing up focusing on her iPhone 13 mini when she switched from an iPhone 7 with a much smaller sensor/lens. Like shooting flowers from 0.5-1 meter they were always out of focus. Apart from iPhone being the worst to focus on flowers out of all expensive phones out there. 
 
Having a fixed and wide aperture is a bigger problem than most non-photography people understand."
Jo,14-Jun-26,"Yes. Its hardware is top notch mainly for camera. But software processing is not good, resulting you will see not much difference in output in comparison with 55K mobile like Motorola Signature. Dxo Mark Tells Signature: 166, X300 Ultra: 170. So not the worth for the price they are asking for."
Lateef Andu,12-Jun-26,"Hello ""Smart Phones users"" as at now with ""Vivo X300 ultra"" specifications from ""Display, Operation, Battery, and Camera, no doubt about it, this device beat all it's rivals down completely, d only clause about it 's weight, if d weight can be reduced. Definitely""s d best phone as at now"
Anonymous,04-Jun-26,"Look, I'm so sorry for saying this but, When I hold the phone, It feels holding a brick, I don't care if the design is not great, But... Why the frame, Back, And display are... Flat?"
Takib,03-Jun-26,most disgusting looking phone
Anonymous,03-Jun-26,Video Optimization Problem
Anonymous,02-Jun-26,Why did the ultra score lower than the x300 pro?
Inedian,02-Jun-26,And it's behind X300 Pro and barely ahead of X200 Ultra... both being above in photos compared to X300 Pro though.
Anonymous,02-Jun-26,DXOMARK results for the vivo X300 Ultra have been released
,23-May-26,Why would having a bright aperture be a limitation?
Anonymous,23-May-26,You still have time to delete this by the way.
,19-May-26,Absolute beast!
,19-May-26,VIVO X300 ULTRA superb phone ever!..i will buy'it next month 😍😍😍
,17-May-26,Ba-dum-tss?
,16-May-26,"(on the X200 Ultra) There is also the Raw Lighting option in the settings overlay menu. Turns off HDR while still maintaining good dynamic range. In fact similar to my Sony APS-C and fullframe bodies. Easily comparable (or better than) RX100 style compacts. 
 
Also works in 50MP mode, which I would argue comes close to APS-C cameras in detail. Although smartphones are typically stuck at wide-open aperture which would often be the biggest limitation."
Patty,16-May-26,They’re trying really hard to compete with Apple and Samsung by charging hefty price on their garbage products
Patty,16-May-26,Exactly. These phones have no value long term. Terrible resale value. Bad investment.
Patty,16-May-26,Enthusiast? You mean a fanboy? Lol
Dreyfus,15-May-26,Most overpriced chinese slop ever.
,15-May-26,Go buy an entry level phone then. This is a device for enthusiasts.
Seriously,14-May-26,"2000 dollars 
I can buy a CAR 
THIEVES"
Anonymous,14-May-26,"Who would buy such an expensive phone from a Chinese company? If someone wanted such an expensive, flagship phone, they would only buy a reliable and secure Samsung or Apple phone, not a local, unsecured, and unreliable Chinese product. It would be better if Chinese companies kept their mobile prices under ₹30,000. Investing so much money in a Chinese company is foolish."
Anonymous,12-May-26,A bit disappointed with the X300 Ultra's battery life looks like the Global X300 Pro is better when it comes to overall battery life.
Anonymous,11-May-26,The X9 Ultra is too thick pretty much like 2010s where phone thickness is not much an issue.
,10-May-26,"Most of those Chinese brands are unreliable... there used to be two, and now there's only one... The other was OnePlus, which was even sold on T-Mobile in the US. That was a huge achievement for a Chinese brand, and they've since disappeared. The other one that's still around is Xiaomi, but they wouldn't even consider selling phones in the US."
D7,05-May-26,"It will be interesting to see which regions Vivo actually plans to target with their Global version, because it officially operates in just 2-3 EU countries (and likely this number is the same outside EU in Europe as a whole). They likely won't touch nowhere near US, and risk Huawei fate, so it remains to be seen. 
 
Vivo is not known as a good player among distributors and seller chains, because it has a ""history"" to disappear overnight and leave the markets (living distributors and sellers in dire situations), so that is a big weight most readers here are unaware. 
 
Of course, for enthusiasts and alike, there is always import option or direct purchase from online stores in China, Hong Kong etc. But, the price is absolutely unreal, as I commented in one the news where prices were confirmed, I would rather upgrade my car for that amount of money then invest it in a phone that will lose 50% of the value in 2 years."
Anonymous,05-May-26,"It's subjective. I think the Oppo has more character with its faux leather, dark metallic frame, and orange accents than the glass sheet that covers the back of this vivo. However, I would be inclined to reverse my opinion once you attach the Photography Kit (or Hasselblad Earth Explorer Kit as Oppo calls it) or the Pro Video Rig Kit (or Khronos Creator Kit as Oppo calls it)."
,05-May-26,fr man this is a beast
,04-May-26,insane phone holyyyyyyyyyyyy
pix,30-Apr-26,Wow. Insane smartphone. Love you Vivo! best phone in the world :)
Mantu,30-Apr-26,"It seems vivo doesn't know Indian market well. 
At this price point people will say 'Bye Bye Vivo' only. 
Vivo has overestimated it's goodwill for indian market. 
Wait and see."
Someone,30-Apr-26,What? Its not
preorder,28-Apr-26,how do i preorder why cant i preorder take my money
Volcano007,28-Apr-26,will you post the review?
,27-Apr-26,Find x9 ultra is an ugly poop of a phone. X300 ultra much better looking.
Piax,24-Apr-26,When do you plan to publish the review ?
,24-Apr-26,Please give  review quickly
AB,23-Apr-26,"vivo x300 ultra Bluetooth 6.0 Global version 
 
No Bluetooth 5.4"
,23-Apr-26,"Option to send it back if you don't like it, lol a €2000 phone, nice try. Typical modus operandi of a scammer."
Anonymous,16-Apr-26,"Sadly not, Vivo did not name the UK in its global launch announcement, so you'll either have to buy from a UK retailer that can import it reliably, or you'll to buy straight from Europe. 
 
It's a shame, but hopefully Vivo can re-enter the UK in the future."
,16-Apr-26,Their official vivo UK page shows they paused their business in UK for the time being.
GreenLines,15-Apr-26,"Does anyone know if this phone will be sold directly in the UK? 
 
As there are no Vivo stores present here, I'd like to be able to try this out, but still have the option to send it back, free of charge, if I don't like it."
Shongohan,11-Apr-26,Interesting to see the performance of the external 400mm in low light and also in 800mm and 1600mm
matusr,10-Apr-26,"When you can add a review? While x200u and 300p show me that x100u is hard to beat, the x300u looks like it will be too."
Anonymous,10-Apr-26,"dayum, that ultrawide looks sick, best ultrawide for sure, look at the size of a sensor!"
Anonymous,09-Apr-26,Common sense says if you are carrying 5kg of lenses with you that tells us  few things right away: you don't know what you are going to actually shoot so you are keeping yourself versatile by carrying multiple zoom lenses with you cause those are the heavy ones indeed so that's why your bag weights 5kg. How in hell is any phone a replacements for your versatility? Even X300U has only two FOV which is 35 and 85 and nothing in the middle or after 85. You as a photographer knows that once you go beyond 85 optical background compression becomes very noticeable and X300U offers none of that cause its a digital zoom.
somedude,09-Apr-26,"the choice vloggers etc make by using an iphone over something else has to do with simplying their video production workflow, not what has the best camera."
Donda,09-Apr-26,That sensor size would do just fine. Infact for all those cameras. A clear winner in terms of camera hardware period.
,08-Apr-26,"Main f/1.9 is a bit underwhelming, and the leaked f/2.3 for the periscope was a bit too hopeful it seems lol."
,07-Apr-26,"Last time I checked smartphones killed compact cameras... Sure you might mean compact vlogging oriented mirrorless cameras like the zve10 or maybe the zv1 but most people simply resort to their phones, some might buy one of those tiny smartphone gimbals and that's it for those vlogging. Since you know, you buy it because it's as a phone, but then it does the job of this thing you would need to spend 600 euros on. As an example. So yeah."
GreenLine,07-Apr-26,"So it looks like the X300 Ultra should be available for pre-order in the UK on 16/04/26 at Amazon UK. 
 
Also, Vivo are trying to setup their own online shop in the UK, ever since it was shut down in 2023, so hopefully they'll also be ready to stock this phone. 
 
I'm looking forward to trying out this phone, and see how it compares with the S26 Ultra and also the upcoming Find X9 Ultra!"
,05-Apr-26,"That logic is a total fallacy. It's like saying a nice Swiss Army knife is useless because a Chef's kitchen knife cuts vegetables cleaner. The point of a heavily computational camera like so isn't to compete head-to-head with a dedicated compact video camera. And it's useless because its exceptional for a phone camera but not enough to replace dedicated hardware? That's illogical. Oh, maybe it hit the bit integer limit? It's so good it wraps back around and becomes not-good again."
AntiPlannedObsolesce,05-Apr-26,There's so many video-focused compact camera it's not even funny. This phone is so overkill it's actually useless
,04-Apr-26,"This is why SD card slots need to come back. And yes, some people who may know what they're doing might not find it convenient to carry their camera with them to certain locations but may still wind up wanting to film. You'll probably transfer your footage over to your computer before you let it fill up your phone's storage. Though less convenient, there are also external drive options."
,04-Apr-26,Best camera in the world and it's not even close men look at this specs
,04-Apr-26,"I mean what's the point of even mentioning 10 bit on a phone? Do they have that on this one?... Oh wait this one does 10 bit log... But at 4k. I mean sure but like, we can talk about shooting raw if you want but like at what point do we lose the point that this is just a phone that won't ever replace a pro camera? Because at that point where, we're talking about these sort of video specs, it's like something that most people wouldn't know, in this case they wouldn't know the best way to shoot video with this phone would be at 4k24 10bit log. And yeah, I mean who even wants to deal with massive raw files on a phone? Especially when you get 256gb for example, you get like what, 10 minutes, if you somehow were able to shoot 8k raw like on the lumix s1rii, before you filled up your entire phone's storage."
,04-Apr-26,"Like I said, bare minimum"
Monster Boy,04-Apr-26,Yes vivo has the best camera system in the market now
Anonymous,03-Apr-26,"Oppo X300 Ultra? 
 
Is that supposed to be a fusion?"
,03-Apr-26,"just watch youtube comparison, i think vivo camera is better"
Anonymous,03-Apr-26,I had the 17 Uktra and gave it back after 2 days of use. Didnt like the image quality and batgery life. But my main phone is X300 Pro. Thats why i didnt lime the Xiaomi
van-bdb,02-Apr-26,"10 MB is 80 Mbit 
80 mbps isn't much for 8k but is well into production-level quality for 4k, so at least normal for 8k i guess"
Anonymous,02-Apr-26,"Yep, Oppo X300 Ultra will be my next phone. Amazing camera and specs."
sayabosanhidup,02-Apr-26,"personally would prefer a hd + any time 
and anyday dude just for the battery life 
 
!"
Anonymous,02-Apr-26,"Which one's camera will be better, Xiaomi 17 ultra or vivo x300 ultra?"
,02-Apr-26,"Yo gurt 
No its not. They gonna launch it in like 20 days"
Nothing to New,01-Apr-26,No E sem
,01-Apr-26,Wait for the oppo find x9 ultra to come next week
Az,01-Apr-26,E-sim ? Ip69k ?
Anonymous,01-Apr-26,"There was the ZTE nubia Z60 Ultra. I'm not sure about older phones than that, though."
Naah Bud,01-Apr-26,"Naah, imma wait for Find X 20 ultra. Bet? 🤣🤣"
,01-Apr-26,"Knowing that they get any device for free, I see no point in judging them, nor trusting them."
AnonD-1229165,01-Apr-26,Bring Some Phones With Lineage 100 - 110 - 120 - 130
Vivo x300 ultra,01-Apr-26,I think this is the first phone with OIS on ultrawide camera
Anonymous,31-Mar-26,You want 1 second = 10mb 1 minute = 600mb 10min = 36gb
,31-Mar-26,"Yes, keep watching your favorite YouTuber review and unbox these phones while recording the video from the iPhone 17 Pro Max, and with the Apple Watch... hahahah"
,31-Mar-26,They improved stabilization to cipa 7.0 but decreased focal
,31-Mar-26,Better wait for a comparison and then choice what you prefer
,31-Mar-26,In china it costa abour 880 EUR
WhyWhyWhyWhyWhyWhy,31-Mar-26,Name me one current at 31_Mar_2026 SoC that does exactly that love :* ...
Anonymous,31-Mar-26,8k/120 fps - min ??? ty si aleže úplný dement ?
,31-Mar-26,"They enhance the camera hardware so much that when you upload it to Facebook, Instagram, or WhatsApp, it'll look like it was made with a $300 mid-range camera..."
,31-Mar-26,If it really costs 880E I will be impressed.
Anonymous,31-Mar-26,No one uses 8k buddy
9ja,31-Mar-26,"The key difference between the variants is the absence of E-sim support on the Chinese variants, nothing else."
Anonymous,31-Mar-26,8K at 120fps should be the bare minimum these days.
Anonymous,31-Mar-26,"I recommend you guys buy Oppo Find X10 Ultra 
 
Let's see what a special Oppo better than Vivo 
We know Vivo is better for AnTuTu and Stabilizer Speed but Oppo still better for UI feature and Screen Protection 
 
Snapdragon 8 elite gen 6 Pro is 30% better performance than 8 elite gen 5 
 
8 elite 4 and 5 just different 15% 
 
Pros Cons Vivo X300 Ultra and Oppo Find X9 Ultra 
 
Build Regular < Eco Leather 
Display Type Brightness hbm 2000 nits < 2200 nits 
Protection Armor Glass < Nano Crystal Glass 
Origin 6 < Color Os 16 
Camera Modul have Gimbal OIS > Regular Ois 
Periscope Telephoto 3.7x = Regular 10x 
Feature better Photo Color for Night = Bright 
Video HDR 8k 30fps < 4k 240fps 
Selfie Regular < PDAF Panorama 
Bluetooth Aptx plus > Regular 
Display Port > None 
Battery 6600mAh 40wl < 7050 mAh 50wl 
Price Middle > High"
Anonymous,31-Mar-26,Better waiting Oppo Find X10 Ultra
Migs,31-Mar-26,Battery. Ooof
,30-Mar-26,Its still decent enough
Anonymous,30-Mar-26,Barometer?
LGs,30-Mar-26,"Only China, global with BT 6.0"
Baman,30-Mar-26,"Vivo Battery 7000 but class B, Bluetooth 5.4, display port only, I think honor magic 8 pro is better choice."
Anonymous,30-Mar-26,Bluetooth 5.4 !!
,30-Mar-26,"Why does the telephoto lens f stop decreased? Also, is it worth over a larger sensor with reduced f stop too?"
Anonymous,30-Mar-26,"There's no way that this phone has a worse selfie camera than the vivo X300 Pro, with a narrower, dimmer lens."
Anonymous,30-Mar-26,"That's a shocker for a 5G model, unless it's only missing that on the China model?"
,30-Mar-26,X300 pro have uwb and barometer?
,30-Mar-26,X300 pro have ???
dole,30-Mar-26,"Major cons: 
- no barometer sensor, 
- no UWB support."
Anonymous,30-Mar-26,It's over 9000!
