"upost","uopin","uname2"
"24 Feb 2026","Believe? It's not a question of faith, it's experimentation, observation. 
I have friends with both S25 Ultra and Pixel 10 Pro. We both took photos side by side in daylight good conditions and the OP15 came out with photos as good as theirs, they were even impressed. Again, in good light conditions, night and dark places is different, theirs are better. 
Their telephotos and ultrawide are better, i was referring to the main sensor. 
Now you can ""believe"" it or not but it's my experience and observation. 
You'll be surprised that in good lighting, even an ""old"" pixel 8a sometimes in certain conditions takes out photos as good as other flagships.",""
"07 Feb 2026","Yes and yes. 
I'm in Spain and i use 2 banking apps: santander and bbva and both work perfectly fine. Other people that bought the phone also say everything works fine. 
The OTA updates work correctly. Received one in January and everything ok, installed, rebooted, no problems. You won't regret it, phone is incredibly good, for 550-600 nothing comes close.",""
"01 Feb 2026","Thanks for the reco. I purchased OP 15(indian variant) here in UAE and I am simply amazed.The design is superb. The charging is superfast from 20 to 100 in 35-40 mins. Camera for me is quite good (not a camera guy anyways). I'm into games more than camera. I noticed it has a good reception of network(wifi). In my Nothing phone 2a it will always connect on the good signal only which is the wifi in the room next door. But in OP 15 it can easily connect on the other wifi too which is at 2 rooms away. 
 
So far, I'm overall impressed at this all-rounder phone.","IcyTzy"
"22 Jan 2026","A better well balanced flagship go for Oneplus 15.....it is better and balanced from all sides.","Anonymous"
"20 Nov 2025","Please how's the audio quality via Bluetooth headphones especially with Oreality Audio? 
 
Does it have Spatial audio as well?","Anonymous"
"07 Nov 2025","Hasselblad was just a marketing trick, its not needed to have a good camera.","Anonymous"
"30 Oct 2025","an ugly iphone copy with too many downgrades.. every one related to this device development team should be fired.. it seems like their goal is destroying this company.. it's finished for me. goodbye OnePlus.","Jandar"
"24 Oct 2025","Who is we? Talk about yourself","Anonymous"
"22 Oct 2025","The criticism over the camera downgrade is understandable when you look at what OnePlus has become. Back in 2016, OnePlus was the ""$400 flagship killer"" with the best operating system on the market. 
Fast forward to today, and it's a $900 phone with a heavily bloated OxygenOS and virtually no custom ROM support. It has lost all the benefits of the classic OnePlus era. 
Now that it's priced as a premium flagship, it should be held to that standard. It's unacceptable for it to have mediocre camera hardware, especially a system you'd find on a $500 phone. At this point, it's more reasonable to buy a discounted Samsung flagship than to pay a premium for a compromised OnePlus. 
I say this as a loyal user who owned the OnePlus 3 and 5T—I was there for the golden years.",""
"08 Oct 2025","Why a midrange main camera sensor on a flagship! LYT-700 is nit flagship level. It's a deal breaker.",""
"06 Oct 2025","pricing will make or break this phone.",""
"06 Oct 2025","The Goat is back","Cade Lance"
"28 Apr 2026","Thanks for taking out the time to answer and share your expert recommendations. Appreciate it.  
 
Best regards!",""
"12 Apr 2026","You do. Are you frustrated or something? Compared to you, I've used a lot of phones from so many different brands and they sound infinitely better than this phone and they're not what you're suggesting me to buy. Don't be fustrated and talk nonsense if you don't know what you're talking about. I'm far from a troll and I think it's the opposite here. You're part of a troll gang that attacks everyone who doesn't agree with your extremely narrow POV. Stop embarrassing yourself.",""
"11 Apr 2026","OnePlus 15 is outstanding and 15 is the beast phone","Shani"
"02 Apr 2026","OnePlus Good in software and battery but samsung galaxy ai software is the best display is good on samsung s series. iPhone are best in long term for battery camera. I will suggest better buy as per your usage.","Anonymous"
"20 Mar 2026","Since you rarely take photos (cameras are decent but not as good as iphone), the Oneplus would be a very good phone for its budget. It has a big battery for you to play games and such, fast processor(in the SoC industry now), and the updates would be also very frequent because it is a higher end phone. It currently comes with android 16, the newest version,  and it will be eligible to update to newer android versions.","Anonymous"
"24 Feb 2026","Calm down. I'm not ""sht"" on anyone not using bad wording etc. 
I did 2-3 posts with that. It's far from spamming every article. Just stating the obvious that people who are willing to import in those conditions, have a good chance of having a great phone that will be better than any other. Because a lot of people are not aware of this. That's a fact. 
Stating a fact in a respectful way is not attacking anyone. I'm sorry that bothers you.",""
"08 Feb 2026","If u want to compare go for real life experiences.....use same apps what u use in both phones for the same time then u can get the result.....For Oneplus 15 if u are a light user then the battery can take u to nearly about 3 days with a single charge.....for medium users like me easily gets 2 days complete battery with 20-25 percent still left.....for heavy users it can complete a day easily with some juice still left.....They have a big battery and they have optimised it too....I have been using for 1.5 month. 
I use it for social media, casual gaming like coc, pokemon go, etc. phone calls, emails, whatsapp, youtube, browsing mixed usage through out the day 4 hrs SoT for a day sometime 3 hrs 45 mins other day like 4 hrs 20 mins like this so I averaged for 4 hrs. And I get 2 day full use with 20-25 still left I never let battery to go below 20 and then I charged to full 100.","Anonymous"
"03 Feb 2026","8k 30fps not 60","Anonymous"
"02 Feb 2026","Welcome and congratulations......Wifi connection is too good on this one than my previous phone......and for cameras it is actually a decent one I would say......Hope u will enjoy it.","Anonymous"
"02 Feb 2026","best mobile for now. 
 
dont by any samsung or iphone. 
 
best flagship.","MobileM"
"29 Jan 2026","Agree 100% with you. 
OnePlus Oxygen OS and Color OS are way out in front of the competition for the best Android OS and UI.",""
"29 Jan 2026","oxygen Os is much better than shitty scamsung Oneui or even the ios. They don't come close to Oos.","Anonymous"
"24 Jan 2026","I am so so glad i bought this phone. The only othet OP i used was the 3T which was also a true flagship killer. OP 15 is so sorted in everyway that you need to look at any other phone especially the battery and ram management. My only let down is the camera. But its not a deal breaker!  
 
The only thing I want in this phone is the dual esim Functionality which the company said would be launched in the first quarter of 2026. I ak wondering when that will happen? Otherwise i am totally for OP 15.","Viks"
"09 Jan 2026","Bought one from China for €550 with global software installed, every app working and 1yr warranty. 
Performance is incredible, no phone until now is faster than this. 
Battery is insane, lasts 2 days with normal/heavy use. 
Charging is awesome with no more than 40min for a full charge in a 7300mAh batt. 
Screen is bright, colors are vivid, definition very good. 
Network is fantastic, 5G and wifi ultra fast speeds and never looses connection. 
Sound is very good, loud, with definition, just a bit more bass would make it perfect. 
Fingerprint sensor is ultrafast and reliable, works every time even when my fingers are wet/moist. 
Cameras are good, main sensor during the day takes very good shots on par with other flagships. At night it's a step behind the best but far from terrible. Last software updates improved on this. 
 
All things considered, for €550 this is phone of the year, by far. I know in Europe/US costs way more but hey, that's life. Buy it from other places if you don't want to get ripped.",""
"06 Jan 2026","Phone is super awesome for its price and have beautifull design.",""
"06 Jan 2026","BBK Electronics dissolved as Vivo went Independent.","Anonymous"
"24 Dec 2025","get it brand new and cheap at mintmobile.store","Anonymous"
"21 Dec 2025","Buy the OnePlus 15 Chinese variant, can find for 600 euro only, the seller will most probably have an option too to flash the global OxygenOS. Iqoo is unpredictable at times with it's power usage, and you never know how much fps you're gonna get.","Kwang"
"13 Dec 2025","3%","Zol"
"12 Dec 2025","You didn't helped me to find anything","Anonymous"
"11 Dec 2025","did you listen the whole thing FOR MY PRIORITIES like if you have 1000 euros/dollars/pounds and most of them are your priotities i helped you find your phone so let me just comment what i want comment aight",""
"10 Dec 2025","honestly for my priorities this is the phone in 2025 under is my priorities in a phone 
1)great os (color os) 
2)great chip(8 elite gen 5) 
3)ultra smooth (165hz) 
4)size (perfect for my hands) 
5)high ram 
6)big ahh battery 
7)ultra fast charging and ultra fast wireless charging 
8)nfc 
9)fast fingerprint",""
"29 Nov 2025","I disagree with you , OnePlus 15 is quite good Nd they did not copy everything about apple you guys and always looking down on android phones nawao , OnePlus 15 is an excellent phone simple","Jkl"
"27 Nov 2025","thanks brother",""
"25 Nov 2025","All these expensive Chinese phones were good when they were the cheap option. The hardware doesn't matter; that's not important to the average person, and even less so to those of us who know about technology or are always on the lookout for the latest news. Apple is going to sell a lot this Christmas, thanks to Chinese manufacturers. Don't expect the Ultra versions outside of China, maybe Xiaomi! Who's going to pay $1000 for a OnePlus when the basic iPhone 17 is $799? The S25 Plus is under $700 with discounts and freebies...",""
"22 Nov 2025","Pathetic joke buddy.  
I have iphone 14pro I can certainly barbeque on that .","Kashif"
"22 Nov 2025","This is the speed I’ve been waiting for. OnePlus just upgraded my whole mood.",""
"21 Nov 2025","Nobody takes photos in the dark, it's absurd. If you're at the beach, you'll get excellent photos; not on par with high-end phones, but I've seen comparisons in broad daylight and at night with good lighting, and it holds its own against others with better cameras. But the battery life is unbeatable. Well done, OnePlus!",""
"21 Nov 2025","Camera results are not poor at all. 
They slightly worse cuz of the poorer light performance otherwise theyre sharper.",""
"21 Nov 2025","Only slightly different. I have both the 12 and 15 and there is little difference. 12 captures more light but thats it.",""
"21 Nov 2025","I havent played for long but games like pokemon go on highest settings barely heat it up.",""
"21 Nov 2025","Of course it does. 
Higher power = more heat (no matter how efficient they claim it is)","Anonymous"
"20 Nov 2025","I just saw a review from a serious YouTuber, and he said he got 27 hours of battery life—literally two days! If that's true, I wouldn't care about the camera quality. I want a whole day on a single charge without worrying about the battery running out.",""
"18 Nov 2025","The dumb ones really like to whine about everything. I'm not really a fan of OnePlus, but as a power user i can see this is clearly one of the best phones OnePlus has launched in years. It delivers exactly what most power users want from our phones. It's successors can improve on the less appealing features. I appreciate a good product when i see one.",""
"17 Nov 2025","Such a disappointing phone.",""
"14 Nov 2025","Almost 60 celsius under load? What would happen when I use wireless Android that is guilty of heating phones? But it's good that if I leave it running, it can heat a room, too.","Anonymous"
"14 Nov 2025","Does Europe even have a phone brand that went global?","Anonymous"
"13 Nov 2025","A huge downgrade from Oneplus 13. Not worth even half the price","Tushar"
"13 Nov 2025","Not yet, today they will launch at 8pm. Currenty time is 6 AM.",""
"28 Oct 2025","I use OP for 8 yrs. This phone looks fine.","Jopa"
"28 Oct 2025","OnePlus originally carved its niche as a “flagship killer”—offering high-end specs at mid-range prices, with a focus on performance and user experience over premium camera quality. The formula was simple: great value, clean software, and solid hardware. 
However, in recent years, OnePlus seemed to drift from that identity. Their partnership with Hasselblad aimed to elevate camera performance, but the results were more “above average” than truly flagship-level. This shift also came with a noticeable price hike, which diluted their original appeal. 
It now appears they may be reconsidering that direction. The resurgence of brands like iQOO and Realme GT, which embrace the original “flagship killer” ethos—powerful internals, competitive pricing, and a no-frills approach—might be nudging OnePlus back to its roots. 
If OnePlus can realign with its original value-driven strategy, it could reclaim its place among enthusiasts who prioritize performance over prestige.","OP13 cheap owner"
"28 Oct 2025","Great major camera downgrade and unnecessary 1.5K 165hz display upgrade. 
Well done, OnePlus.  
Instead of making unnecessary market gimmicks, How about not downgrading the things that most people will actually use in their daily lives?","Asrar Mir"
"24 Oct 2025","Mf why the flying f do you need the f-ing radio and 3.5 mm jack like why. Its a beast of a phone and a cool and different design","Kevin"
"22 Oct 2025","Don't worry one plus devices have life time display warrenty","Ak"
"16 Oct 2025","I've been saying to downgrade the camera and move the savings directly into other aspects of the phone. Throw all those megapixels right in the trash and improve the stuff that matters.","jesse"
"16 Oct 2025","I agree with you, I'm not taking photos on the daily, let alone within a week, if people are so upset about the camera ""down grade"", get a dedicated camera if you are taking frequent photos.","Cheese"
"09 Oct 2025","AI will ""improve"" your photos 😉",""
"08 Oct 2025","They should have base OnePlus with small screen and a pro-version with big screen like apple Samsung and Xiaomi",""
"06 Oct 2025","yea, I would actually prefer the Oneplus 13 over this ANYDAY of the week",""
"06 Oct 2025","outside of the little bubble that you are in, many people actually like the design, not saying i do but you are just plain wrong lmao.","Anonymous"
"06 Oct 2025","You might be the only person who prefers this new camera design which has zero personality compared to OP13. And the horrible design is the least of this doomed phone's problems.",""
"06 Oct 2025","A disappointment!",""
"23 Jun 2026","u can use esim adapters?","Anonymous"
"22 Jun 2026","I have the Oneplus 13 and it does not have the esim capabilities. I want to upgrade to the Oneplus 15 but cant seem to find any that have the esim. Kind of annoying that they don't all have esim capabilities.  
I am UK based, does anyone know if they are doing any OnePlus 15 with esim in european?","Ayubi"
"23 May 2026","Does this mean that Barometer feature is exclusive only to CN variant?",""
"16 May 2026","They will release one more flagship before they leave.",""
"07 May 2026","your on thin ice pal!","Anonymous"
"07 May 2026","ok mr. ai.",""
"02 May 2026","🙏",""
"23 Apr 2026","Hi,  
 
My friend ex patient once told me a ROM is more than half the phone. When I bought my 1st Android OnePlus 1 back in 2014. 
 
Not into gaming, not big time photography.  Least bloated ROM. 
 
Prefer SD CPU Adreno GPU.  
 
Which 5G phones would you recommend. With NSA SA Sub6.  
 
Hoping to hear from you.  
 
Regards!!",""
"18 Apr 2026","Bcuz it has less Google services and more restriction i think",""
"17 Apr 2026","The global version of the oneplus 15 has other benefits and advantages to compare to buying the Chinese version. That's why the global version has a higher price.",""
"13 Apr 2026","Exactly,they just sound better than oneplus 15 but real life experience will be different","Anonymous"
"13 Apr 2026","... and Google Pixel ! 😂","Spencer"
"10 Apr 2026","China version is a bit cheaper.",""
"02 Apr 2026","Was thinking of upgrading my F1 to the F8 ultra on June, but since since this phone has the same price here in the middle east I will go with it.  
 
But here we have 3 versions, International, Indian, and Chinese (International)... Can someone help me with the differences between them, not sure which version shall I get. 
 
Also just knew that OP is going go with LG :-( 
Will this affect its long term support?",""
"28 Mar 2026","Only few companies are going to remain globally in coming years. Only safe to buy is apple and samsung","Anonymous"
"25 Mar 2026","Now it's confirmed, goodbye OnePlus.",""
"22 Mar 2026","They have that but I didn't get that one even my previous phones of Samsung too I didn't get the insurance or additional warranty.....but somehow I got an offer in my oneplus for free 3 months additional warranty that is total 15 months warranty from date of purchase.....but yes for sure u have the option to buy an additional warranty too even accidental one though all of them cost differently.","Anonymous"
"21 Mar 2026","Ok thanks for the info. Also did you ever get insurance through Oneplus. Like how Apple has AppleCare. How good is Oneplus’s version?",""
"20 Mar 2026","Can anyone from the U.S. tell me how good Oneplus is. I currently own an iPhone 16 pro max but would like to go back to Android. I’m thinking about either Samsung or Oneplus. I rarely take photos and I mostly game, listen to music and watch YouTube. I know Samsung is good when it comes to updates but I don’t know much about Oneplus.",""
"20 Mar 2026","The prices are crazy in China. I bought my OnePlus 13 for £340 just a few months ago. Now I bought OnePlus 15 for just £363. I still can't believe it. AliExpress is crazy! I wonder how they are still in business. Do they make any profit? And if yes, how much does it cost to build OnePlus 15? 
Ps: OnePlus 15 is £849 in the official website here in the UK.  
 
Now I'm wondering which do I keep, 13 or 15 ? Tough choice.",""
"18 Mar 2026","i mean, the a18 is in the macbook neo, it's really efficient and can output the power for gaming","anon"
"10 Mar 2026","Really you suggest iphone for gaming device? 🤣🤣","Anonymous"
"07 Mar 2026","Yeah i dont really take photos that much tbh","Anonymous"
"07 Mar 2026","If only gaming then save money and go for 15R and if u want overall a balanced experience with photography and gaming, etc. then go for 15.","Anonymous"
"07 Mar 2026","you better off buying a secondhand iPhone 16 pro max instead","Burikit"
"06 Mar 2026","Guys i am mainly a gamer but i have the budget for OnePlus 15 or the OnePlus 15r should i save money and buy the 15r because i think that if i get the OnePlus 15 and play games battery health will decrease and thats a loss with how much i will pay. What you guys think ?","Anonymous"
"06 Mar 2026","The anti-rules screen is fine, but a privacy screen for $10 will solve the problem and have the same effect.",""
"06 Mar 2026","anti-reflective coating Privacy Display, kindly bring this feature in OP 16","Shayantan"
"04 Mar 2026","other than network bands, should be okay. unless oneplus region locks","Anonymous"
"27 Feb 2026","is there a difference between the indian version of this phone and the EU version that might cause a problem? does the Indian version lack anything in particular?","Anonymous"
"27 Feb 2026","Tru",""
"23 Feb 2026","Yeah, nothing come close with prices in China.  
  
550$ is around 466€. OnePlus 15 12/256 version is around 1200€ in Croatia.  
Do you see a massive difference in price?  
I do.  
So why do you need to sht on every announced new phone? Do you think it's fair to compare these China prices with global prices of every phone? I'm asking that because i see you in other comment section bragging about your purchase and bashing phone models with their global pricing comparing them with your 446€ OnePlus 15 and claiming nothing can come close to that.  
 
And you are right. It can't, unless is also China priced.","IQ200"
"23 Feb 2026","do you really believe OnePlus camera is on par with other flagships? 
 
really?  
 
they have never been on par with other flagships, so have you used any of these phones or you just watched compressed youtube videos with comparations?  
 
you can say whatever you want for OnePlus ""flagship"" category phones, great almost clean but with many features OS skin, fast CPU for the price, fast charging speeds, great battery, but camera results? no. just no.","IQ200"
"22 Feb 2026","Samsung giving 7 years of updates and green line issue within 2 years of lifespan one time free screen replacement for only ultra users 
Motorola 7 years of updates are on paper but in reality it's a joke motorola will forget the users after a year of use and green line issue too like u have to change the screen for 7 years for more than 3-4 times don't know whether spare parts will be there.....and I will not talk about iQOO they are giving 5 and oneplus giving 4 it's not that a very big deal and camera quality of oneplus better than iQOO......and above all most of the people will be changing any of these within 3 or max 4 years.","Anonymous"
"20 Feb 2026","It is giving only 4 software updates, where as iqoo 15 gives 5 updates, motorola signature 7 updates, smasung S series also 7 updates. 
Oneplus has to notice this, and high value phones are price worthy only with high number of software updates. 
This low number of software updates is one of the reason for downfall of oneplus high end phones in india.","vkr"
"20 Feb 2026","Nothing phones suck. OS is awesome","Anonymous"
"18 Feb 2026","I agree, Oxygen OS now look pretty similar to Color OS. Nothing is smoother.","Chhai"
"16 Feb 2026","Nothing Os is better than Oxygenos","Furkan"
"13 Feb 2026","Good Morning Community, 
 
I am writing to get some advice before I make a purchase. 
 
I recently purchased the Find x9 Pro chinese version which ran ColorOs 16 (PLG version). 
 
The hardware was great, and I loved it but sadly had to return as I am from South Africa and alot of features just didn't work for me as it would anyone else globally. Notifications were delayed by a huge margin (sometimes ranging from 5 min to and hour delay). Breeno was trying to sneak itself everywhere even after disabling to the best of my ability. NO GOOGLE DISCOVER or ""Hey Google"". 
 
So I've seen the OP15 and DECIDING to get the chinese version flashed with Oxygen Os. I understand there won't be e-sim and widevine L1. But I'll be saving some money getting this one this way. 
 
Has anyone flashed the chinese version with oxygen os and is notifications on time and not delayed? 
 
google discover and ""hey google"" works fine? 
 
any issues you face running oxygen os on it? 
 
I'd really like some clear guidance on this before making this purchase 
 
Thanks all, 
 
Have a great day",""
"11 Feb 2026","do nt u worry dude now that oneplus is done with 
the hardware means it would be its software next 
 
! 
 
and afterall i think it is not oneplus software but it could 
be android itself and so it should join harmony os dude 
 
! 
 
would nt be long for it to happen so just go and save 
ur money for ur desired phone in the future my dude 
 
!","sayabosanhidup"
"08 Feb 2026","OnePlus 13=1440p 
 
OnePlus 15=1272p","Anonymous"
"08 Feb 2026","But the battery size is not the only factor. 
Eg iphone 17 has smaller screen size (96.4 cm2 ) vs oneplus 15's 112.4 cm2.  
So, OP15 will consume energy faster.","Anonymous"
"07 Feb 2026","This thing has almost double the battery size of iPhone 17, but it is no where near double the battery life (15h vs 23h). This obviously means OnePlus needs to optimize their phones better.",""
"07 Feb 2026","Hello, I’m planning to buy the CN version with a global ROM (OxygenOS). Do banking apps from outside China work properly? And do OTA updates work?",""
"06 Feb 2026","Has been with OnePlus since 2019 through OnePlus 6T which is still going strong without a single repair. Had to upgrade my phone, just had to go for this one 12/256 CN variant Sandstorm on 31st Jan. Last 6 days has been amazing, I feel like I'm flying LoL, my Iphone user friend is quite jealous of me =D","Wasi666"
