uname2,upost,uopin
anonymous,02-Apr-26,"Because it's cheaper not because it has better hardware. They are basically the same phone. No improvement in the CPU or GPU, in fact I read somewhere the GPU in the A57 is actually clocked 100mhz lower than the A56 but don't quote me on that. I read it in Wikipedia but the phone was only out in some Asian country and nobody but Wikipedia had this info so take it with a grain of salt as we still don't have solid specs for it. Anyway, one of the few improvements the A57 has over the A56 is the WiFi and the Bluetooth. A57 has tri-band so it can use 2.4ghz, 5ghz and 6ghz so this might be useful for people in crowded areas. Is it worth the premium asking price over the A56? It depends! Do you have a tri-band capable router? If you do then maybe it's worth it I guess. I don't think it's worth the asking price just for this feature unless the 5ghz band is too congested for you and you need the 6ghz band somehow. I wouldn't pay more than $350 at the absolute highest for this phone."
Anonymous,30-Mar-26,"A56 EE (Enterprise Edition) for 7 years of security updates—instead of only 6. Or maybe not if the price difference is too steep, but I have seen the EE at prices that were close to the regular edition. I got the EE 128GB 8GB RAM at € 269 last year. I think it's still a better value than the S25 FE unless you are lucky enough that you can get a much heavier discount on the latter choice."
Anonymous,27-Mar-26,"A56 is definitely the better choice if you look at the price and hardware compared to the A57. We don't know what your current Samsung phone is and what your budget is, the S25 and S25 FE would be a better option than the A57. You should take a look at the prices and compare them in your country.  
 
I personally think if you can afford an A57 go for an S25 FE they are similarly priced otherwise you can save money by going for an A56."
zabegan,13-Mar-26,"I bought it last week too. I have no idea why people hate this phone. I got it for €325, which included a deal for a charger. Even though it's only 25W it seems fast charging, from 30% to 80% takes around 30 minutes. 
 
Coming from a Xiaomis, the first thing I noticed is that the software (One UI) is much better than Xiaomi’s. There are no ads, and the options are actually useful. I bought the 8/128GB variant, and it doesn't lag at all; it's super smooth with the 120Hz refresh rate. The screen quality is good, though the camera is just average. A full charge with medium social media usage can last me two days. 
My cons: 
screen is way too big, you can avoid it if you want compact phone. This is just a brick"
Max,16-Feb-26,This is a great midranger from samsung
anonymous202611,11-Feb-26,theres multiple websites that measure it. just search for internet speed test
mike,31-Jan-26,"just ordered it, the price decrease was like 46% from the initial price. I wasn't able to snag it during the times it was even lower, like literally 55% off from the release date (this was 6 months after its release). It is really of great value once you realize that samsungs on release is very overpriced compared to the competition, the experience is just very user friendly"
,29-Jan-26,I have received the January 2026 security patch. So far so good after installing it this morning.
,25-Jan-26,Shocking that ppl don't realise this .... Samsung is now total junk ....except for their ultra series ... And my ultra just got a line on the screen ... Drove out next day and got a Xiaomi .... Never going back to sh*tsung.
Khalid,24-Jan-26,"Never waste on this A series of Samsung glaxy.  It has some issues like low battery timing,  Too heating on normal social apps and slow speed. They are just earning income on brand"
,27-Dec-25,"I don't have Honor phone, my suggestion will be biased. 
 
Depending on the price and location, in my case Honor is cheaper but service center is not available/too far. 
 
Both are mid-ranger, but I choose A56 with following reasons: 
1. Bigger screen (I have big hands). 
2. Samsung known for durability. 
3. Better software customization, subjective. 
4. Not stellar in camera but sufficient for my needs. 
5. After sales sevice."
,16-Dec-25,"Security patch on December 1st. 
I found out the following on the vastness of the internet: 
Here are the key details that this update brings: 
Vulnerability Fixes: The patch addresses about 45 to 50 security flaws in the Android operating system and Samsung software. This includes several ""critical"" patches that prevent remote execution of malicious code. 
Samsung Specific Fixes (ALL): The update fixes specific vulnerabilities in Samsung apps and services such as Theme Center, SmartSwitch, Dex Mode, and Bluetooth connectivity for the Galaxy Watch. 
Hardware Optimization: Fixes for security flaws in Samsung's semiconductor products (chipsets) are included, further ensuring the integrity of your device at the hardware level. 
Stability improvement: Although the changelog often mentions only ""improved security"", such monthly updates usually also bring small optimizations for smoother system operation and better resource management."
Anonymous,01-Dec-25,"Don't you know some Apple screens are actually from a Chinese BOE Manufacturer, maybe a mix from Samsung aswell & if your screen gets a green line then you know it's from samsung!"
,01-Dec-25,"The Exynos 1580 found in the Galaxy A56 is a better chipset than the Qualcomm Snapdragon 6 Gen 3 found in the Galaxy A36. Although both chipsets use advanced 4nm manufacturing technology, the Exynos 1580 offers significant improvements in processing speed and power, making the Galaxy A56 a better performing phone. And that's by all comparisons. I'm very happy with the A56."
,30-Nov-25,"Buy it. The A56 is currently the best buy, in my opinion."
Ali Mp,30-Nov-25,Yes this is a very good phone.
,21-Nov-25,I miss the hand comfort of my A50. That also lost its back panel by the way
Anonymous,14-Nov-25,"Dramatic, are we?"
,03-Nov-25,"I don't understand you. The S class isn't just the S25 with 6.2"". There's also the S25+ with 6.7"" and the S25 Ultra with 6.9"". 
If that's not enough for you, then buy a tablet. :-)"
Anonymous,01-Nov-25,this is NOT a budget phone. It's upper mid range. It's the one before the S lineup.
,17-Oct-25,"I switched from the A52s to the A56 after 3 years because my A52s started to fall apart even though I never dropped it. The back started to come off and the phone started to ""yawn"". As for the build quality, the A56 is incomparably better. As for the cameras, it's not a big improvement. The software is, of course, better. I don't play games. If you don't have such problems with the case as I had with the A52s, I don't think it's worth switching to the A56. Don't get me wrong, not because the A56 is bad, because it isn't, on the contrary, but because the A52s is very good. Of course, for my needs."
Budex,13-Oct-25,"Coming from a Note10+, one thing u will notice is the drop in ppi density on a15. Also, d fact that the a56 has a bigger battery and android 15. Otherwise, d Note10+ is still a better device given the S-pen and software optimization. CODM is smoother on the Note10+. Downside is battery life and old android version."
Simbadut,11-Oct-25,Why does Samsung remove memory card slot but doesn't provide 512 GB internal memory option at this price point?
jmatic,18-Sep-25,"I had A70, and S22 (broke it a month ago) and when the A56 is compared to them 
- The A56 battery is much better than the S22, sometimes my battery lasts up to 2 days. And when I use it a lot, after 24 hours I have 30-40% left 
- Display?! So, both good and not. It's good in everything except visibility outdoors on a sunny day. Bad. 
- Sound is good 
- I don't play games on my phone, but for everything else it's very good. There are no freezes, the battery doesn't heat up, all applications work well. The sound during calls is very good. Everything works very smoothly and there are no problems. 
- but...BUT...the camera is bad. My impression is that it is much worse than the camera on my A70. And it is just as bad as the one on the S22. The daytime shots are good but the night shots are catastrophically bad. The picture was taken at 10pm and you don't know if it was taken at dusk or just on a cloudy day. The sky is bright, everything is kind of bright. If you want a night shot you have to take it in ""professional"" mode. 
 
Overall, if the camera isn't really important to you, this is a great phone. 
But if you want a good camera, find another phone."
That,15-Sep-25,"The S22 Ultra has an awful Modem (in both variants) and CPU (If it's an Exynos ver), which is why it's so cheap now"
,09-Sep-25,redmi fanboy detected
Anonymous,05-Sep-25,">6.7 inch display 
>385 ppi 
 
lol"
Anonymous,28-Aug-25,Or maybe they could've just kept the sd card slot since they are making SD Express cards now.
,23-Aug-25,"Did you check the dBm or only the bars?  
 
I'm comparing A56 with Xiaomi phones. Xiaomi tend to give full bars while A56 sometimes decreased by one or two. But when I check the dBm it's the same."
Julko poco x7,02-Aug-25,"Try out some xiaomi note pro phones or note s series, poco x, m, f series and ser your experience on there"
Anonymous,31-Jul-25,"I guess you are referring to the same people who doesn't know what phone case is(clumsy people without case are the worst regarding IT hardware). I have s23 ultra since release, we have couple of them for work purposes, my friends are still using s23 ultra. No one has ever face any issues especially with the screen. So long story short if you know how to take care of our device you'll be fine until your device goes EOL especially with this kind of hardware."
,31-Jul-25,"🤣🤣🤣 S23 ultra users are reporting lines on their screens after updating ... after just TWO+  years .... and u believe that samsung will support mid range a56 for 7 years till 2031 ???? 
By early 2027 latest, samsung will BRICK all a56 devices by pushing a destructive update to force u to upgrade and to eliminate need for further support .... just like they did on A71, A72, A73, S20. S21, S22 & S23 Ultras and earlier galaxy flip/folds. 
Samsung of today isn't samsung of 5 years ago."
,23-Jul-25,"It's all up to the user, their vigilance and common sense. The latest or greatest doesn't guarantee that they're safe from security vulnerabilities, especially with reckless users and sometimes even the brand's weaknesses itself."
Anonymous,23-Jul-25,no one wants tv remot control aspect ratio even sony ditched2:9/21
,22-Jul-25,"There's nothing wrong with using old devices, even if they're unsupported. For most cases, they're protected by Google Play Protect. And 8-year-old flagship hardware, as with my Nokia 8, is simply more than enough for any user.  
 
My biggest concern is how most brands castrate their devices beyond 2-3 years, making them paperweights by planned obsolescence. Even the A21s is a capable phone, but not without flaws."
Anonymous,21-Jul-25,"I do hope future A5x devices get a telephoto at least 2x, if not remove the macro camera."
,16-Jul-25,"Go back to your corpo overlords and lick more boots. 
 ""Yes google please hold my data hostage and harvest it to your liking!"" -you"
,15-Jul-25,"I defend SD card all the time but i prefer wireless earphones or earbuds. They have more Durability and longevity than wired earphones. No more Tangled cables, No more fear of the Cable tear apart anymore. I charge it once a week with moderate use. Feel so free to use. Before that I was disappointed with wired ones they always broke every 3 to 6 months. I hate it when the cables suddenly torned apart inside rendering them useless. ""You're tearing me apart, Lisa!"""
,15-Jul-25,"SD is NEVER EVER gonna be outdated. It's just those companies that brain washed you all. Do you even ever use an SD card. Use legit real high speed SD cards. SanDisk got a new 1.5 TB SD card. Fun fact: all phones with microsdXC slot are all in fact support SD card with maximum capacity of 4TB. It just the phonemakers company never mentioned that. Other good SD card Brand is Lexar. And Transcend got a REAL  portable SSD with no use if cable at all, it has make type c interface. I have to recommended it because I used one. It's very good these three brands."
,15-Jul-25,Finally someone who's understand! And actually used SD card unlike of those people keep saying SD card are slow but never bother try real high speed SD cards but instead buying a fake 4tb Chinese SD cards
Anonymous,10-Jul-25,"Absolutely no lag, battery is very good."
Anonymous,26-Jun-25,Stop lying... Chinese phones are using virtual proximity as well.
Bazoo,22-Jun-25,"Got mine 12/256 including a charger for 400 dollars. Great phone, everything works well. Very good cameras, screen and speakers. And if you prevent some apps to run in the background, the battery becomes impressive...It is surprising that people would even consider buying some chinese phone junk full of ads instead of this gem."
,14-Jun-25,"I got mine earlier this week and the phone is fantastic, Gaming is so decent, camera is awesome, UI is 100. You have to experience it yourself and stop judging those silly reviews and those users that don't have the phone but claim to be the NO 1 phone engineer, dense ppl everywhere fr."
Anonymous,04-Jun-25,Using this phone right now. Pretty solid. The first Samsung midrange to have 6 years of major and security updates which helped me save me ton of money. Though let's see if the phone after 3 years or 4. Hopefully they will optimize it
Anonymous,28-May-25,"Talking about main sensor. A56 >> A53. 
Also, improved ISP."
CRH,27-May-25,What's the point of a good camera with no expandable storage?
Anonymous,25-May-25,Samsung must dismiss who cancelled white chargers from boxes of Samsung mobiles
Technerd got in here,23-May-25,"This reimagined Galaxy S21 offers a mid-range device with extended software support, achieved by strategically omitting flagship features such as 4K 60fps video recording, Samsung DeX, adaptive display, and high-resolution zoom capabilities, along with certain software functionalities.  However, it incorporates 45W charging, suggesting Samsung may increase charging voltage for next year's S-series.  Furthermore, the Exynos 1580 processor demonstrates stability, improved cooling, and comparable performance to the Exynos 2100 in the S21, while offering enhanced energy efficiency."
Anonymous,13-May-25,"Pay more for less. No MicroSD slot, no audio jack, no included charger, no included earbud, no included case."
Anonymous,13-May-25,samsung: so we can sell more cloud storage and better storage version for higher price
Nader Ali,12-May-25,"I don't know what the designers of these devices were thinking! They remove features from each new version of a series. They removed one of the most important features that distinguishes mid-range phones: SD memory support. Someone might say that the memory sizes that come with the phone are large, and you can buy a version of the phone with a larger memory. Yes, that's true. But what about people who have a large SD memory and have transferred files to it over the years between several versions of the phone, and they want to upgrade their old phones that support SD cards, and they are surprised to find that the only devices that support it are low-budget devices with weak performance!! We have accepted the idea that flagship devices have removed support for SD memory, and I am sure that there are people like me who only want an average device and do not care about games and maximum performance from phones, but they care about a good camera, good design, and also support for features that are missing from flagship devices, such as SD memory support or a headphone jack. In addition, Samsung raises the prices of its devices and ignores the fact that there are competitors offering better devices than it and competing with it in every price category, better screens, better batteries, and better features, and their devices come with all their accessories and are not like the greedy Samsung. It is not strange that its devices do not sell as before and incurring sales losses."
,08-May-25,save up for a regular s24 or regular s23. Way better options imo.
,29-Apr-25,"Just a usual cases, my experince was with Xiaomi phones but I heard it's happening with Realme as well. 
 
Whenever you update to higher version of Android (rather than the one coming with the box), there will be a worst issues in phone industry. 
- Lagging 
- Heating 
- Battery draining 
 
People said by waiting for few days or factory reset it will be getting fine; based on my experience it is not the case, still troubling anyway. 
 
Better to stay with Factory Android version and do not update (major version)."
LOL,23-Apr-25,I would avoid all Chinese brand phones for now.
,23-Apr-25,"I'd say its good, and its sharp, just.. nothing special, at least from my experience. 
 
Its an good upgrade from Galaxy A12 though"
Chaslick,22-Apr-25,"I bought the European version with 8/256 configuration 2 weeks ago for €345 and so far I haven't had any problems, considering my usage (quite basic, so mainly WhatsApp, IG, Reddit and music). 
In my opinion, it can all be summed up with ""it doesn't excel in anything, but what it does, it does well"". Excellent reception, very good cameras, stereo speakers that do their job, top-of-the-range materials and finally the One UI which is responsive and comfortable to use.  
You might say ""yeah, but there's also the OP Nord 4 or Xiaomi with top-of-the-range specs at those prices"" and okay, but they didn't convince me in terms of features, UI and support, having tried them and also hearing stories from people who have or have had these phones."
Anonymous,22-Apr-25,Not everyone can tolerate trash software from chinese phones
,22-Apr-25,"People buying samsung (or iphone) not only due to the price or performance. People believe there are values that's chinese phones cannot provide (i.e.: reliability, security, prestige, durability)."
,14-Apr-25,I dont understand the virtual proximity sensing. Its super annoying. Better go for physical sensor. It would not cost much but would be a huge improvement.
GreG,07-Apr-25,Same for me i have found sometimes the screen irresponsive because i use a glass screen protector. Solution is to go in settings/display and activate the increase sensitivity toggle. Works great now...
,06-Apr-25,"FYI you can pick these up brand new on eBay for between £300-£330 in all colours from multiple sellers, just goes to show how inflated retail prices are these days!"
,30-Mar-25,256GB of storage without a card slot!!! UFS 3.1 in 2025!!!
Anonymous,27-Mar-25,"My brother and I both had the A54. He went for the A56 and I decided to shop around with my hard earned money and found myself an S24 FE on Facebook's Marketplace for cheaper than the A56! 
 
We did some side by side comparisons and my S24 FE is smoother and snappier, games and apps load faster, the camera is better and the shutter is quicker, the optical fingerprint scanner on my S24 FE is quicker than the optical fingerprint scanner on his A56, 
and his 45W charging is slower than the 25W charging on my S24 FE! Oh, and his A56 still experienced some stutter her and there. Knowing that I managed to get an S24 FE for cheaper than his A56 and seeing the difference, he's regretting purchasing the A56. 
 
The A56 is a beautiful phone and feels premium in hand but Samsung missed the mark on certain aspects. I would rather wait a few months after the launch of an FE instead of getting an A5X in the future."
,26-Mar-25,"Oh, so you're willingly crash your privacy by deliberately ""storing"" your data in a cloud storage? 
 
Remember, you don't own the cloud."
,25-Mar-25,"We can guess, but currently it's expensive, more than SSD/NVMe. 
 
Perhaps it's more suitable for gaming handheld or surveillance, where people willing to spend more. 
 
I guess A57 will have 512GB variant which would be a game changer without the needs of card slot."
