"upost","uopin","uname2"
"20 Nov 2025","It depends on what kind of color tone you like in the photo. Oppo is a bit warm (Hasselbald) [ColorOS16], Vivox300pro [OriginOS] is a bit bluish (Zeiss), for Samsung I don't recommend it (The screen is prone to green lines) and the SC service is bad in my country. I'm an oppo x8 user",""
"20 Nov 2025","Oppo Find X9 pro, vivo X300 pro or Samsung S24 ultra?","Anonymous"
"18 Nov 2025","Yes, unless you are from the EU (Oppo Find X9 Pro better)",""
"18 Nov 2025","Vivo x300 pro or s25 ultra. I'm conflicted on what to get.",""
"15 Nov 2025","Thats why i stopped comments 😂","Bobi7x7"
"12 Nov 2025","Is this a good upgrade for someone coming from x80 pro?",""
"11 Nov 2025","Oppo Find X9 Pro has a 7500mAh battery in Europe. 
They use a dual cell battery. 
They can skip EUs regulations somehow? 
Single cell batteries are the ones that suck. 
Over 20wH and you must pay a big amount to sell then to Europe. 
Why doesn't Vivo use dual cell batteries? 
I don't know???",""
"10 Nov 2025","nah they've done eu dirty 5000 mAh while everybody else gets 6500 mAh",""
"10 Nov 2025","they might just do the same",""
"10 Nov 2025","But Xperia phones aren't real camera phones. Except for the main camera, the rest is far behind competition.","Anonymous"
"09 Nov 2025","Yes. Unfortunately it is for EU region battery. Thats why i hate it.",""
"08 Nov 2025","A camera phone without even a dedicated camera button. What a joke. I'll wait for Xperia 1 VIII which can even be unlocked for rooting.",""
"08 Nov 2025","It's the Endurance for 5440 mAh (EU Region) not Global one which is 6510 mAh.",""
"06 Nov 2025","I refuse to believe the battery life is only that much. doesn't seem right for a 6510Mah battery, maybe redo it again gsmarena","Anonymous"
"06 Nov 2025","Oh no it's so small. I don't if I can get 1 hours SOT now oh no. There is no AC outlets anywhere and power banks doesn't exist oh no","Anonymous"
"06 Nov 2025","Dang it! 
It has a super nerfed battery in Europe. 
5440??? 
What's that??? 
Seriously?!?! 
That's a huge deal breaker! 
Not even 5500??? 
5440?!?! 
Yeah not going to be my next phone. 
Oppo Find X9 Pro is in my lists.",""
