"uname2","upost","uopin"
"","10 Sep 2025","Yes, 110GB would be tolerable, but not speedy enough to get transferred via USB 2.0. The phone would charge faster than getting its files transferred. Agree on the latter part, because there isn't anything to write home about the target audience."
"Zabre","10 Sep 2025","Nothing Exciting, Copy Paste, New Case, Slightly faster processor, Finally 120 hz display, which is old technology, No Ram Increase, More Bread Crumbs for the Masses from Apple."
"","09 Sep 2025","Confirmed LTPO, in the event it advertised it could adapt to 120hz to 1hz."
"Never Glaze","09 Sep 2025","if that's true and iphone will stay at 799€ im going for the iphone 17 in late 2026 after the new iphone relases! i always have been dreaming of having an iphone (not a cracked one nor old like ip 12)"
"","09 Sep 2025","Biggest upgrade on a base model iPhone, this is definitely the one to get this year!"
"Anonymous","05 Sep 2025","😂😂😂😂"
"","21 Aug 2025","""Apple is the greatest, so u must learn everything about apple in schoollll"" ahhh comment 🤣🙏. This will be the second most hilarious cmt i've ever seen since i joined the gsm community lol"
"AppleWakeUp","17 Aug 2025","Apple is so behind about tech, i dont think they will catch other brands. They are like intel, sinking but not noticed it. Dont tell me that they have a lot of market share and money because intel was better. Intel had almost %90 market share and almost %100 on server and unbelieavble amount of money. Now they are  (almost) bankrupt and usa trying to save them (because chip fabs and the only reason they are still alive is that)."
"","07 Aug 2025","nothing really special about iphones any more"
"","07 Aug 2025","dawg an accident..."
"Anonymous","24 Jun 2026","you know I can find only CH version in Iran, only Pro series are ZAA here.  
CH version have 2 physical sim tray that is good but lack of Ai is bad..."
"Anonymous","24 Jun 2026","Can i use Anker 25W for iPhone 17? I use it for my S24 FE now."
"Venky","23 Jun 2026","Iphone 17 heats up while charging but why you remove case and why celling fan putting on that is not important topic"
"Someone","21 Jun 2026","No it doesn't heat up. Only during charging, heats up a lot. So I remove my case, and charge it with the ceiling fan on."
"","20 Jun 2026","Good phone for price if you don't want pro version I upgraded from 12 to this"
"Anonymous","19 Jun 2026","If it will receive it, it will be ""not as smart"" as US version. Even EU doesn't have full ios 27 siri support yet."
"Anonymous","19 Jun 2026","Yes of course. It's a small powerhouse. I use waze, google maps all the time with no problems"
"Anonymous","17 Jun 2026","Can i use it for navigation porpose ? does it heat easily?"
"Anonymous","17 Jun 2026","Will the China version (CH) get Apple AI ? its not release yet since iPhone 16 !"
"Anonymous","05 Jun 2026","IOS 25.5.1 fixed that if you have this issue"
"Anonymous","18 May 2026","I've seen a video and also read few posts regarding the 17 series (including pro,air) that if you phone battery dies its not turning on even if its on charging. Did anyone face this issue? There are few work arounds like putting your phone on a magsafe charger for 15 mins and/or holding the volume down and power button. Idk if its fixed or not yet and not sure if its 17 hardware fault or software glitch."
"Venky","08 May 2026","Ohh but I saw many videos of iphone 17 in YouTube about battery problem latest update not giving much battery backup for normal usage it's giving only sot 4 hours.i want to purchase but I scared about battery backup only.please reply"
"Pol Kuad","08 May 2026","It lasts me more than a day with normal use. 
 
For example: I charged it to 86% on Wednesday at 4 PM and now it's at 36%."
"Venky","07 May 2026","What about battery is it give 1 day for normal usage please reply"
"Swaznigger","07 May 2026","Best phone ever!"
"Jolszi","30 Apr 2026","I bought it last October 2025. 100% batt health, what I love abt this iphone is it’s 3000 nits peak. Whenever I’m in the sun, I don’t get a hardtime bec its brightness adjust so good. The performance is a pro-level."
"hman","27 Apr 2026","No."
"hman","27 Apr 2026","I upgraded from a Pixel 8a, and the iPhone 17 lasts me much longer. For not even having 4000 mAh, it's pretty good for my needs."
"Anonymous","25 Apr 2026","getting this in few days, hows the battery?"
"Puran","18 Apr 2026","Its getting hot while browsing or little extra work load. Inspite aftger update same problem. any remedy for this"
"Thakur","17 Apr 2026","The only drawbacks for these vanilla version are the battery it’s not even 4K mAh and after one or two update I’m telling you it’s not gonna last even 4 hours SOT note this"
"","14 Apr 2026","Actually this phone has extremely good battery life for the battery size. If you look at GSMArena's battery life test, the phone scores 15 hours. If you doubled the battery capacity to 7384mAh, which is about the same as the OnePlus 15, it would be getting 30 hours of active use, which is way better than what any Android phone can do."
"Anonymous","10 Apr 2026","iPhone 17 Is a new release by apple 2026 but battery capacity did not increase to 5000mah always 4kmah below"
"Venky","09 Apr 2026","Iphone 17 after latest update battery draining issue is that true"
"Anonymous","30 Mar 2026","Sure it's okay. It just charge slower and that's it"
"","28 Mar 2026","I guess it's okay but, the standard Adapter rating for this device is 40W. It will charge your iPhone 17 faster than that of 20W."
"","27 Mar 2026","I bought this device last march 24th in power mac then an adapter of 20W for 14.750 USD charger break which gives me discount on the adapter while they show me another 40W adapter for 41 USD but I choose the 20W is it okay?"
"","14 Mar 2026","Can't wait to own this!"
"Anonymous","09 Mar 2026","In reality they do this to justify higher price tag of pro models. Especially this year when for most people iphone 17 is way better option compared to pro model."
"M18 GMC","07 Mar 2026","They justify this with ""most people won't ever make use of it"", which is kinda true but... Really? Is USB 3.x something impossible to implement in high-end (and therefore costly) phone? Losing a penny per device, like they wouldn't be able to even raise retail price by that funny cent... That's indeed low for a premium brand, and I say that as iPhone user (of my beloved 13 mini)"
"techguy07","07 Mar 2026","usbc 2.0 what a shame even my almost 10yo phone galaxy s8 got usbc 3.1 and the s9 got 3.2 . people really need to talk about this disaster on base model iphones"
"Anonymous","05 Mar 2026","Depends on your needs. I would choose iphone 17 because: 
 
120hz and much brighter screen, 17 additional ultrawide 48mpx camera, wifi 7 on 17 (more futureproof)"
"Anonymous","25 Feb 2026","ant decide between this an 17e"
"IphoneEnjoyer17","23 Feb 2026","The Iphone is the best phone ever and its the best phone ever"
"Anonymous","23 Feb 2026","Move to IOS android app does the job well. If you are talking about system itself - give it 1-2 weeks and you'll be surprised how smooth this phone works."
"Anonymous","23 Feb 2026","I'm thinking to upgrade to this from Pixel 7. How's the transition from Android to Apple?"
"Samuel mame","21 Feb 2026","This phone look like iphone 16"
"Anonymous","20 Feb 2026","Im surprised that battery life on my iphone 17 can easily last a day. I was expecting it to be less since I have a a52s 5g with a bigger battery. Camera quality on pictures and videos are superb and a huge difference compared to my a52s 5g. I also like it's perfect size and weight, very handy and light to use since I'm not a fan of huge smartphones. Charging speed is also fast specially when using a 25W charger or higher. Some of the features that i hate on IOS is not having a separate volume for media, ringtones, notifs. And the gesture on ios is quite confusing compared to android."
"","18 Feb 2026","If there is one thing you should not trust it’s individuals like you on the net that spread misinformation."
"","18 Feb 2026","I used it on days with very bright sunlight and I had no issues at all with the visibilty"
"Anonymous","16 Feb 2026","And how is the sunlight legibility on iphone 17, mean in bright sunlight?"
"Anonymous","15 Feb 2026","I‘m used to the 4.7 inch SE and decided between 17 and Air. Got this for the smaller size. It’s borderline too big but I don’t think it will get smaller anymore in the future. I hope if they keep the size, they at least make it a bit thinner and especially lighter. Battery life is way more than I need even with an 80% charge limit, but less weight I would appreciate. Maybe 6.7mm 150g. Otherwise I don’t feel like anything is missing compared to the Pro or any other phone. I don’t even really know what the Pro has other than the third camera, different design and better chip/RAM, and I don’t care even though I read about phones daily here."
"","12 Feb 2026","I have this phone as much as i want my air i still prefer to use this mainly for this reason the ultrawide and sound quality, the air looks more premium than 17. battery life 17 a bit better. screen air is bigger... if the air has dual cam and stereo speakers, we will the next version air hopefully."
"Anonymous","12 Feb 2026","Don't spread non sense. 26.3 update even improved already impressive battery. 
 
Auto brightness, 120hz, 5G/Wifi(wifi 80%) all the time, BT always on. Browsing social media, using camera from time to time, multitasking gives me 8 hours of SOT (from 85% to 10%) and 0% idle battery consumption during the night(8 hours). Phone is as cold as it could be. Probably one of the best devices I've owned ever yet. Great battery, great performance."
"Anonymous","11 Feb 2026","the battery is very very bad on this phone, don't be fooled by those who say otherwise -  trust me you'll regret wasting your money"
"Anonymous","06 Feb 2026","Which phone used USB 2.0 Hi-Speed in 2000?"
"Anonymous","06 Feb 2026","In which EU country iphone 17 is 1000+ euros?"
"Anonymous","06 Feb 2026","Idk what you on man but 7-9hours of SOT is more than plenty per day lol. Maybe you should go outside more often if the battery of this beast is not enough for you"
"","05 Feb 2026","Hello. 
Just to subscribe to the owners of the iP17. I had all the regular models from iPx to 17 and I can tell you that the iP17 is the best regular model since the X model! I have to exclude the iP13 which has the best ringer volume and earpiece of all the regular vanilla devices! The iP17 has a quiet ringer and a quiet earpiece from previous models and those are my only two complaints! So, my recommendation is to buy the iP17 vanilla model (or a stronger model, if you have the money)! P.S. Better to buy an iP17 than Xiaomi 15 or a 15T Pro for the sam money ;)"
"EchterAlsFake","04 Feb 2026","USB 2.0 in the big 2026, crazy to me how Apple can scam their users that much. 
Imagine you buy a phone for 1000+ Euros and you get USB 2.0 from April 2000 lmao."
"HornyGorilla","04 Feb 2026","Do not buy this piece of garbage, it doesn't even last for the whole day WORST BATTERY EVER!! 
 
Get the Pro Max version instead, atleast on that version you won't have to charge your phone like 6 times a day"
"Anonymous","03 Feb 2026","battery is great. From 80% to 30% I'm getting 5 hours SOT. 120hz, auto brightness, wifi/5G, BT always on."
"a","01 Feb 2026","Gaming : 👍 
Chipset: 👍 
Camera: 👍 
Design: 👍 
Battery: 💀"
"Fils08","29 Jan 2026","I would like to request full support for the Latvian language in iOS – including Siri, dictation, and predictive typing. Latvian is an official EU language and thousands of users would benefit from this improvement."
"Rach","25 Jan 2026","To be honest I have had a few iPhones I had the 16 then got the 17 and apart from maybe the camera slightly and the screen I don’t really notice much difference but everyone is different"
"","23 Jan 2026","If you want to buy an iphone then the base iphone 17 is your best choice this year! it's still somewhat expensive at 950 euro but the upgrades this year are somewhat worth it lol"
"","23 Jan 2026","wait for 1-2 more years"
"Anonymous","21 Jan 2026","Surprisingly great. Even in low light. Only downside zoom further than 5x"
"","20 Jan 2026","Good & satisfying atleast for me..loving my iPhone 17"
"Anonymous","18 Jan 2026","Hi guys. One question: How is the camera of iPhone 17?"
"halim","09 Jan 2026","come on dude, iphone 17 more than xiaomi. Xiaomi phone is a piece of junk"
"Manoj vyas","06 Jan 2026","You do need to upgrade to Iphone 17. Since you are already using a flagship like Samsung galaxy s24 Plus. Your phone is already better brother."
"","03 Jan 2026","If you decide to go for the base 17 the 200 extra would be well spend. You get more ram , double the storage, upgraded cameras, a better chip and way better battery life despite it having the same 120hz panel as the Pros."
"","01 Jan 2026","dont get the air it is way too overpriced,no need for a phone this slim,it only has one camera and the ip17 base is way better like it was rated the best upgrade from the previous gen and phone of the year like if you dont care THAT much bout the camera this is the perfect one"
"","01 Jan 2026","why didnt it have touch id and face id like the action button could have been for touch id because it way way safer and i can bypass my brother's face id because we almost look identical"
"Anonymous","31 Dec 2025","I am thinking about upgrading from iphone 15 to either 16, 17 or Air. The 16 is around 200$ cheaper than the 17 and the Air is the same price as the 17. Not sure if the 200$ price difference is worth it.."
"","29 Dec 2025","If the camera control button was a TouchID then I would've bought it."
"","28 Dec 2025","I think having dual sim and e-sim is good"
"","26 Dec 2025","Mf you dont know anything about mobiles"
"Anonymous","19 Dec 2025","Why not? All major carriers have option to switch from physical sim to eSIM"
"Joe","19 Dec 2025","Big loss because no Sim card slot for canada."
"Anonymous","17 Dec 2025","Dude seriously. It's worse than iphone 11 which was released 6 years ago lol. Rebranded iphone 11 with worse cameras = 16e"
"Szyn4","17 Dec 2025","what's better in 11 than 16e? it's perfect phone in some conditions"
"Anonymous","16 Dec 2025","bruh, no telephoto, xiaomi 15/17 is way batter or 15t pro"
"yerkii","13 Dec 2025","I have swaped s25 to iphone 17 - without one regret!"
"","13 Dec 2025","Xiaomi 15 is the better buy."
"Anonymous","11 Dec 2025","16e shouldn't be in conversation talking about good phones. Even old iphone 11 is miles better than 16e"
"Anonymous","11 Dec 2025","Already said that from the tip of my tongue so... 
 
Why reply? Its tons better than The 16(e)"
"Anonymous","09 Dec 2025","You sound like my uncle after 10 b**rs. Complete, nonlogical non sense"
"Anonymous","09 Dec 2025","A perfect phone currently is around 6.7 inch with over 7000mah to 9000mah battery new androids, iphones only work well in cold climate well. Outdoor hot temperature it cant cross 15 min also. The only thing you need in android phone is subscribe a antivirus security and enjoy the android new phone for next 5 years. As from 2030 all current devices are going to be obsolete as all devices will be new tech new os complete ai."
"Anonymous","09 Dec 2025","What do you mean? This phone is probably the most packed and most noticeable upgrade compared to previous model and probably best bang for buck available on the market."
"Anonymous","09 Dec 2025","Winner of the MKBHD Smartphone Awards 2025 (Apple Sided)"
"Isuru","08 Dec 2025","Yes, 
Recently, I changed from an S24 to an iPhone 17.  
I think this was the greatest decision I have ever made."
"samsung","06 Dec 2025","camera picture not even better than redmi note 14 pro"
"Anonymous","02 Dec 2025","They? Photographers didn't say that for sure xDD"
"Anonymous","02 Dec 2025","Lol did you not analyzed the message? They said “want”, not mandatory."
