uname2,upost,uopin
Anonymous,30-Mar-26,"No, only you are out.. Exynos does not equal immediatly to trash. It's a budget phone smarty so stop crying exynos does not equal bad"
,30-Mar-26,AMAZING PHONE feels premium wait for drop of prices if you can't buy it
,30-Mar-26,Good
Anonymous,26-Mar-26,A bit overpricing!!! Not it's Extreme Overpriced. A57 it's not Pixel 10a and it's not Apple 17e. I think Samsung it's gonna crazy! Hey Samsung it's just a midrange A series with App Cloud Crap in software!!!! It not a Hi midrange with Qualcomm 7 Gen 4 and don't have a better display with Hi resolution 1.5K 12 Bit panel
,25-Mar-26,Same device as A56 last year with maybe 5% increase in power by newer chipset othervise no changes and not worth the price at all. Disgustinng.
Scam-sung,31-May-26,"Very poor camera, the lack of detail is noticeable compared to the older Xiaomi 14T. Biometrics works very slowly, I have never seen worse. The performance is bad for this price class, the sound is not even average. This is the flop of the year."
Jimbob,23-May-26,"6.7"" 6.7"" 6.7"" all their phones are the same size now like cant they make one smaller or something"
small handed idiot,23-May-26,"Sam, I can't!!!! I cannot use bricks! While the A37 is a pretty decent phone, the sheer size of it is... bleeeeeeks! I hate it! Got a return ticket waiting... I'm sorry. I can ONLY use small phone. """"Cheap"""" ""small"" phone right now? Pixel 10a and Moto Edge 50/60 Neo (which sux xD). Yeah... Better start saving up.... And people attacke me: ""Ooooh, who uses small phone nowadays?! Oooh, get with the flow."" I don't want to ""go with the flow"". I have small hands and other parts (xDDDD) so... yeah. :D:D"
Sam A55 User,07-May-26,"Let me guess, Chinese phones fan?"
Sam A55 User,05-May-26,"But you know sometime i don't need some features too, but if is for the same price, why to not take better if cost the same or similar price? Extra things which you don't need so much, but maybe will be need later, sometime after i tried i like it and use it later. You know it's like you don't know that you like it till you did not tried."
nikola,04-May-26,"SAR values, raising up and nobody is raising any concerns.  Everything else is less important."
sasa,04-May-26,"In Serbia, a57 has the same price as s25fe, a37 the same as s24fe. Funny"
Anonymous,23-Apr-26,"For A57 it's much better to have 6.5"" and a better hi resolution 460ppi ideal . 6.7"" it's to big in this format 19:5:9."
Anonymous,22-Apr-26,Where I'm from S25FE is 665 USD while A57 is 432 USD.
HONOR,22-Apr-26,Oppo Realme and Honor have minimal and clean software no ads no bloatware. They blow Samsung out of the water when it comes to price quality ratio. I.e. Not all Chinese phones have bad software.
Anonymous,18-Apr-26,"If they charge this much, I'd rather get an iPhone instead!"
HONOR,16-Apr-26,"Sure thing. But it is still the value you get with poco phones is crazy, for a lil price they give you great chips, decent hardware and okay-ish software. I own Honor and Realme btw but I had a couple of poco's before."
Anonymous,14-Apr-26,I got brand new A56 Made in India few days ago and since the first day I can see color shift. Samsung as a brand is very great no doubt but their quality isn't the same as it used to be
Sam A55 User,13-Apr-26,"About which ads you talking? In A55 running One UI 8 too, but when i had One UI 7 or older never was any ads in phone, in some apps yes, but not in phone. Also keep in mind that i apps like Galaxy Store, Google Play and etc. have to be ads, because it's shops. But inside phone (menu, features settings and etc) i've never saw any ads. This is not my first Samsung smartphone."
Sam A55 User,12-Apr-26,"Always about network need to talk with mobile provider. This model support 5G, so if you don't see 5G it's mean that something is from mobile operator wrong. Reasons? You are not in 5G area, your mobile provider do not support this model as 5G, you don't have plan with 5G and etc. It's always good to talk first with network provider. Of course check is 5G set at all in network settings."
,10-Apr-26,"😂😂, bro have used both Samsung and iPhone , and my comments are made from the usage plus u missed the whole point, i said for price range the hardware level of Wat u get from Samsung is lower than Wat u will get from Chinese brand , plus wats the essence of having a 7 years update if the chipset isn't going to support It , except if the person already have a high end phone and only wants to buy it as his second phone and wants it's secured"
,09-Apr-26,"Legit would buy this if it actually had complete one ui, I want complete good lock for example but sadly even tho it is not One UI core it still has missing stuff."
AnonD-1231411,09-Apr-26,"I'm aware of that, mate. But as far as I pay reasonable-low price for these phones then I'm okay with it. They all bloody spy after all."
,09-Apr-26,Samsung low end phones still have more inbuilt ads than hyperos 😭😭 in some aspects
AnonD-1231411,09-Apr-26,"Are you sure about that? Enable the Developer Options and check the memory usage see what's running in the background! If not, just Google up : ""Aura and Appcloud-Ironsource Samsung Malware"" .. Also, Samsung got Microsoft services already installed and we all know what MS does. Adding to, Samsung Browser which has 193 permission in your Phone vs Brave Browser just 48 permission 0 Trackers. So there you have it, mate."
Anonymous,09-Apr-26,AppCloud by ironSource
AnoNnn,08-Apr-26,"I use more brands than you, so I can commend myself on my own experience. I can only say smartphone improve from time to time, so does all other Chinese brand's smartphone. Just like any Samsung and Apple iPhone, they are not perfect, but also not terrible. I can safely say if one really want to save money and don't want all the fuss, you may start from some POCO's series, or Xiaomi T series, then slowly go up from there, or pick something like Samsung FE series. I still have those POCO, Xiaomi, Realme, OPPO, Vivo, Honor with slight lower end specs, but still work fine. Unless someone abuse by frequent dropping their phone, play high demanding game with fast charger to overheat the phone until component burn, those can last for quite long. Maybe just the Android version and UI update cycle is shorter than Samsung and iPhone, the rest is pretty competent at very low price. Also make sure you get the real genuine global version from your country with official presence, then you shouldn't face much issue aside from preference and specs. I have those more than 5 years, and by changing the battery from time to time, those can last very long. I still have the Pocophone F1 from 8 years ago."
Sam A55 User,06-Apr-26,"Good luck, please write after 5 years how you STILL LOVE your Xiaomi. Please don't hesitate to say your emotions then. Samsung fans after 5 years buying newer models with Exynos too or just love furthers theirs models, Xiaomi or any others Chinese fabs after 2 years throwing to garbage theirs phones. This is real feedbacks, this is not my opinion. I know more as 4 - 5 people from my very close circle which had Xiaomi, Huawei phones and they had some of them flagships, they are now Samsung users. All people did cursed Chinese."
Sam A55 User,06-Apr-26,"Did you had ever Samsung phones with Exynos? Can you write which models if yes. Exynos was terrible in past, i agree, but right now most don't have so negative opinions as was in past. You writing what was in past, but right now is 2026 and Samsung improved it."
Sam A55 User,06-Apr-26,"In here many Chinese fans, they trying to abuse Samsung as company very much, we know reasons - Xiaomi still is following behind like a dog, Oppo, OnePlus and others at all is somewhere like in X-Files, Huawei is rejected at all. So Chinese fans panic here, they trying to somehow do better sells, but Samsung people is too smart to believe Chinese fairy tales. And if someone buying mid range phone and trying to do from it fridge of course will be many problems. I have second mid range from Samsung and first with Exynos, i don't see any different between Snapdragon and Exynos into A70 and A55 and i have oneplus model which draining a lot of, even strange that that it is stay on table all time, i don't use it. Exynos ir not bad, Chinese is reason to read all this mess here."
Anonymous,06-Apr-26,"""even"" Ok just shut up, Mediatek hasn't sucked for years. You are just repeating outdated nonsense at this point."
Kate,06-Apr-26,Same price with s25fe and vivo v70? Even honor 400 is better than this with lower price
,06-Apr-26,The reason I ask is because Chinese brands are currently very superior and have crushed Samsung.
Sam A55 User,05-Apr-26,"These days Exynos is much more better as Xiaomi or any others Chinese processors which is not Snapdragon. They all are good on paper, but after some time becoming just a trash while Exynos in Samsung devices still rocking. If Samsung is so bull5hit, why so popular in all world? It's seconds or sometime first by selling."
ArdadeYT,05-Apr-26,"If they want this phone, It's their opinion... Tbh tho I would still pick this phone even If It Bad as you think. The only thing I love on this A57 5G is the Software, not just that but also other specs. Even tho Poco X8 Series Is still good at It, I will still pick the A57 5G. And your calling this an E-waste? Bro are you allergic to Samsung, or what? You must be a kid calling the phone E-Waste bro, have you never heard of Samsung brodie? You must be a fan of Poco. Just get a Life man 🥀🫩"
Sam A55 User,04-Apr-26,"In US people choosing most iPhone too, but Samsung is second choice, not any Chinese. When Chinese will be UI like Samsung or iPhone when we will talk, right now it's the same as to talk about aliens, nobody saw it, but everybody talking. Good luck with your Xiaomi, i have Samsung A55 two years already, before it i had A70 5 years almost, not regret any seconds. My friends which had Xiaomi right now is Samsung users, they talked like you before tried Samsung."
Anonymous,04-Apr-26,"Saw that to, but cant find nowhere confirmation of this.."
Anonymous,04-Apr-26,Good luck with sales.
Something,03-Apr-26,How is this ewaste bro
Buying Xiaomi 14 ult,02-Apr-26,Ugly phone with toy looking cameras looks cheap and not worth the 529 in UK I rather get the Xiaomi 14 ultra at this price
Anonymous,01-Apr-26,No shit! Exynos it's a garbage in generally 1280 1380 ....and now f2600 rom S26 it's a failed! Qualcomm it's more better! And Samsung sell S26 in Europe with this Garbage with the same aberrant price!
,01-Apr-26,Only a tech illiterate or a chinese would recommend HyperOS it's subpar in almost every way compared to One UI and iOS both are far better optimised with less bloatware. Go buy Poco dude since you have made your choice and stop coming in here and try telling everyone of what to do....
Anonymous,31-Mar-26,Yes but Nokia is still considered a Legend...you 've failed again troll...
Kangaroofingers,30-Mar-26,"Exynos?  
 
I'm out. Lol, everyone's out."
Anonymous,30-Mar-26,Please stop that SD card crap they're being used for CCTV cameras nowadays and no longer for mobile phones. Grow up!
,30-Mar-26,I don't understand how this is priced at ₹60K. I also don't understand who in their sane mind will purchase this?
Anonymous,28-Mar-26,Smooth phone
User with Sams,27-Mar-26,"Honestly i dont care about it. Because they are back on track for the flagship level features. The latest bluetooth version of 6.0, IP68, and also a real Proximity Sensor. Which ive been waiting for. Weighs less and includes an improved AMOLED+. Plus Screen to body ration is up 1-2% higher than A56. 512gb version and inproved performance core for the exynos 1680. HDR introduced to main cam video. Plus Wifi 6e instead of wifi 6"
Anonymous,26-Mar-26,"Yes I think in maximum 2-3 month the price will drop drastically because existing another alternative more better in this price range 500 - 550 Euro with more powerful processor and better display Hi Resolution display 446ppi not 385 ppi sucks. Example Pixel 9a just 400 Euro very compact phone 6.3"" display Very Clean Android, 7 years totally Software Updates and the fastest Security Monthly Update and first to receive Android 17. And more better processor then Exynos 1680."
Anonymous,26-Mar-26,"a bit overpriced, it's hard to say if it's because of ai or samsung taking advantage of consumers"
Samfan,26-Mar-26,Even Motorola signature is less pricier than this piece of garbage ( compare to competition) even if they have used exynos 2400 their would point to justify price hike (apart from storage crisis)
Anonymous,26-Mar-26,Lol why does this phone even exist 🤣🤣
Anonymous,26-Mar-26,530 Euro preorders for Standard Galaxy A57 variant 128 GB / 8 RAM it's a crazy price! It the same price with S25FE .  Nobody normally don't pay more the 500 Euro for Exynos 1680 Crap.  Samsung it's not Apple ever never. And don't have value Brand like Apple
,26-Mar-26,"This is an expensive thin toy at best, otherwise paying flagship killer prices for a below average midrange phone is insane."
Anonymous,26-Mar-26,"with that hefty price tag,  
better get an S-series (or FE series).  
the past A series like A55 still has advantage over S-series (MicroSD slot) that could justified those price tag.  
but the A56 and A57 have none."
Anonymous,26-Mar-26,i wish eu would force apple and samsung to always provide microsd card slots... maybe if enough eu citizens complain to their governments
Anonymous,26-Mar-26,This is Propaganda Agenda Samsung??? MicroSD Card it's very useful for more people because it's Safe and can encrypted MicroSd Card and Audio Jack 3.5 mm it's very useful . Why Sony Xperia have? this feature's?
Anonymous,26-Mar-26,"For all those who say SD card is useless just keep in mind that there is new version of SD card that can match with Sata ssd spees or even faster. Im talking about those UHS-III sd card, if they included sd card on this phone you dont have to spend an extra 100 dollar upgrade for just 128 GB extra when you can use that money and buy yourself a lexar play pro for around 80 dollar that you can upgrade with 256 GB. For those will attack me for these new sd card just keep in mind that these sd card is also using to store games in the Switch 2. Feel like every new version Samsung release for this phone is like even worse version than last one. More AI slop features shove into our throat and more more accessories keep being removed so they can cut cost and lying to cosumer that they are protect the environment (which is the bullshit claim). So yea, better just buy another phone brand that have all the necessary features such as sd card or headphone jacks and less ai features. Cause these day corpos will just release expensive device with less feature than before and if people keep still buying them, there will no reason for these corpos just to keep dumping more crap on us."
,26-Mar-26,"They've made the phone significantly lighter, which unironically, the only remarkable thing about this phone.  
 
The specifications claim that they're using hardware proximity sensors, but given that the S series had omitted them since the Galaxy S10 series, it seems too good to be true."
,26-Mar-26,"This phone is dead on arrival due to autracious pricing in India. Is samsung gone mad or what, both A57 and S25 FE are on same price. This move seems like they plan to increase S25 FE sales."
Azer,26-Mar-26,"still no SD card, useless cp"
A6464,26-Mar-26,SD Card expansion is a must for phones. I can't stand the extreme push to cloud storage solutions.
Anonymous,26-Mar-26,Exynos chip = insane battery drain when using mobile data. Absolutely terrible modem. Been like that for years and shows no sign of improvement. Last time A50-series was worth the money was with Galaxy A52s which had a Snapdragon chip.
Anonymous,26-Mar-26,"What a ridiculously stupid design. A phone that keeps getting thinner and thinner, with a camera bump (mountain) that keeps getting bigger an bigger—all that stupid design for cameras that are so bad you never use them anyway—and a tiny battery that barely lasts a day. 
Samsung is now following in Nokia’s footsteps."
Anonymous,25-Mar-26,"I do, and they're not useless. Just because you don't use something and think it's useless, doesn't mean other people don't use it and finds it useful, which it is, despite what you say."
Anonymous,25-Mar-26,The cameras are just dissapointing.
,25-Mar-26,"If i m being honest  
Sd cards are just useless"
Anonymous,25-Mar-26,Samsung increasing price year by year. Not worth it
Nergi,25-Mar-26,"Minimal improvement.  Rear camera specs are the same with A54. No zoom no UW upgrade, chipset minimal improvement ( basically 15% higher performance ), no 4k60."
Ahmad,25-Mar-26,"Yes dear a55 best choice..i have a55 i am not buy a56 a57 no card slot, not buy"
Anonymous,22-Mar-26,"And here is the breaking news.None of Samsung and Iphone's models have been listed in the compatible devices which are offering 5g data services in Pakistan.The remarkable thing is that both big tech giants (as per budget not services) have been set another goal to reach them out to gain access to 5g services in Pakistan. 
Users can check it on telecommunication provider websites in Pakistan 
Massive shame"
Anonymous,10-Mar-26,"Dude relax if you can get by on a mid range/budget model then that's great but all I'm saying is that you should temper your expectations when buying budget devices. Having used Samsung's A series models myself for 8 years (A5 2017 then A42) but I'd much rather have a phone strong processing power which is why I switched to the S25 FE. 
 
Also to clarify I bought the S25 FE for 900aud on zip pay (BNPL) so I'm not exactly ""flexing"" how rich I am (I'm not rich at all). 
 
The last update for the A50 was android 11 and considering how minimum android version for most apps is 8 I'm having a hard time believing you switched due to what I assume is software incompatibility but then again I don't know your use case so maybe I'm wrong."
,13-Feb-26,Is that why smaller phones flop on the market? It's a loud minority who themselves mostly buy big phones as well.
,11-Feb-26,When will this phone be revealed? The A56 was announced March the 2nd but this year the s26 will be announced on 25th of February so will this push the announcement of the A57 back?
mak,21-Jan-26,"agree 
plus an upgrade to the camera producing better photos"
Dan,20-Jan-26,we need 1TB version with / or sd card slot
Anonymous,19-Jan-26,"Just launch it already! So that I can say ""Yawn... Next!"" :P 
Dem US brands, dey becomin' more expensive, mon... 
Well, everything is more expensive, but still... Apple and Google... yeah, not very tempting in 2026 in EU. Know some people who took a loan to buy the latest iPhone... Kinda sad. 
And it's a shame, because they're really high-quality products.  
I guess we don't deserve nice things? Good thing we're building weapons and ammo and useless AI datacenters, tho... What a great time to be alive... 
#depression&anxiety"
LOL,09-Jan-26,"Most Android phones no longer have a microSD card slot, please let it go."
Anonymous,05-Jan-26,"""Go educated yourself"" is not a proper sentence and is the type of grammar   one would expect from an eight year old, if pointing this out makes me pedantic then I fear for our future."
,24-Dec-25,No sd card or aux jack so samsung is pretty much finished. I will never buy another samsung again. They dont listen or care about there consumers all they care about is chasing profit.
HSM,24-Dec-25,5000 mAh battery again and again.
Anonymous,24-Dec-25,5000mAh is in the past.
Anonymous,23-Dec-25,"How come? I mean, the A56 already has good battery life, and it is more powerful than the SD 865 from five years ago. Plus, if you watch their video, the stress test results are not bad. CPU throttled to 80% ""with hardly any performance loss."" What else could be not good with Exynos or good with rivals? Shouldn't we expect the 1680 to be an improvement, I'd say comparable if not better than the SD 888?"
Anonymous,7 hours ago,Yes all do but need roaming telco package
Anonymous,25-Jun-26,please post my unfavorable messages about samsung. thx
,24-Jun-26,"Great buy great phone for Php 16,200 12/512 variant. Always buy Samsung devices at a discount but SRP meh"
Samsung A57 Enjoyer,24-Jun-26,Got this amazing phone for only 265 USD for the 12/512 variant during the 6.6 Shopee Sale in our country. For the price I bought it it was the best phone to buy hands-down.
Anonymous,24-Jun-26,In my country in Europe it's available A57 512 GB / 12 RAM but price it's a fantasy of Sammy Carp 600Eur and the phone it's im your control ! One UI it's a not a transparent Software have telemetry and it's full of blotware and Crap. Pixel it's a very good alternative or iPhone for this Price
Anonymous,23-Jun-26,More ram is always better with Android getting bloated every version specially with samsung bloats.
Sam A55 Bait,23-Jun-26,It's complete rubbish.
NeonMoto,22-Jun-26,Samsung A52 4G uses Snapdragon Chipset... lol
Max,22-Jun-26,"Good phone, but I'm having problems with internet connection on it. Hope it's a temporary problem. Great cameras. Good chipset. Great super amoled+ screen."
Anonymous,20-Jun-26,"Boring phone..... No Snapdragon, no party.... 
 
Same goes for A56.... and A55..... and 54..... and 53.... 
 
Wtff are you doing. Samsung???"
,20-Jun-26,Telephoto is 1000 times better than macro
Anonymous,20-Jun-26,Can Samsung A57 work internet in low network coverage area like outer anchorage onboard ship?
Anonymous,17-Jun-26,Macro cam in 2026 says it all...
Anonymous,17-Jun-26,"It's expensive this new A57 inclusive in this moment base variant 400 Euro approximately for A57 128GB / 8 RAM if you want Awesome Lilac or Icyblue . The price not drop to 350 Euro only ugly Navy it's somewhere between 350-360 Euro. Poor Display resolution 385 ppi , the Exynos 1680 it's not a Wow processor . Waiting...."
danny988,17-Jun-26,"Is anyone noticed that on the same ligtning conditions has less brither screen then s25FE, A55, A16, all good but this brightnes if you have two phones side by side (those are the one i compared)? Phone new 10 days out of the box"
Anonymous,17-Jun-26,"Buy Now for 2 years subscription! Or buy from another country from Europe!  
Right Now Pixel device's Received Android 17 Stable Version 8a ,9a, 10a I think.  it's confirmed on 8a I have this device and another person confirmed on 9a in Europe. Who is the best?! Size :1.46GB"
Anonymous,16-Jun-26,In the uk they’re talking about banning VPN.
Anonymous,14-Jun-26,"Pixel 10a + GrapheneOS → Best option for privacy. 
Pixel 10a (standard Android) → Slightly better privacy than Samsung. 
Galaxy A57 → Excellent security, but more built-in services and apps are enabled by default. 
On the same privacy scale: 
Samsung Galaxy A57 without a VPN: 6/10 
Samsung Galaxy A57 with Proton VPN: 7.5–8/10 
Google Pixel 10a with Proton VPN: 8.5/10 
Google Pixel with GrapheneOS and Proton VPN: 9.5/10 
 
The jump from Samsung A57 without a VPN to Samsung A57 with Proton VPN is significant because the VPN helps protect your internet traffic from your ISP, public Wi-Fi networks, and many forms of tracking based on your IP address. 
 
The Pixel 10a + Proton VPN still has an edge due to: 
Faster and longer security updates. 
A cleaner Android experience with fewer manufacturer services. 
Better compatibility with privacy-focused tools such as GrapheneOS. 
Finally resulted! Pixel 10a it's better than Samsung A57 overall!"
Anonymous,14-Jun-26,Thank you
Why,14-Jun-26,"So a 6.9mm thicness with a 5000 battery  
Whynot a 8mm with a 7000 batery samsung??? 
NO SD CARD ....WHY? 
THEY WANT TO BECOME THIFS LIKE APPLE"
E,14-Jun-26,Ahahah exacly
